"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2018","EQ","297.20","298.25","295.50","294.80","295.65","295.90","296.50","332.75","232.35","95,26,067","2,82,44,42,938.70","81,758"
"28-Dec-2018","EQ","293.60","297.10","293.55","292.15","294.45","294.80","295.43","332.75","232.35","1,28,76,558","3,80,41,09,940.65","85,894"
"27-Dec-2018","EQ","296.70","297.60","291.50","294.15","293.30","292.15","294.03","332.75","232.35","1,53,04,564","4,50,00,69,546.20","92,770"
"26-Dec-2018","EQ","292.85","295.00","287.15","293.05","294.55","294.15","290.87","332.75","232.35","1,26,84,324","3,68,94,53,768.15","80,935"
"24-Dec-2018","EQ","293.50","295.00","290.15","291.90","293.50","293.05","292.60","332.75","232.35","1,20,48,877","3,52,54,91,705.10","91,297"
"21-Dec-2018","EQ","293.65","296.50","290.80","294.05","292.00","291.90","293.22","332.75","232.35","1,57,77,301","4,62,62,86,443.40","1,10,956"
"20-Dec-2018","EQ","298.35","301.65","293.15","300.70","294.00","294.05","297.78","332.75","232.35","1,92,22,232","5,72,39,60,953.85","1,36,911"
"19-Dec-2018","EQ","294.70","302.00","294.70","292.75","299.50","300.70","299.22","332.75","232.35","2,61,24,125","7,81,68,99,023.30","1,97,180"
"18-Dec-2018","EQ","287.85","294.00","287.00","289.50","293.90","292.75","290.48","332.75","232.35","1,36,06,582","3,95,24,99,771.55","1,09,081"
"17-Dec-2018","EQ","289.30","291.45","287.30","289.20","290.25","289.50","289.32","332.75","232.35","1,27,28,014","3,68,24,76,864.95","78,521"
"14-Dec-2018","EQ","288.50","290.80","287.05","289.00","288.70","289.20","288.88","332.75","232.35","1,21,56,361","3,51,17,08,338.05","99,288"
"13-Dec-2018","EQ","290.00","294.00","285.75","285.25","288.85","289.00","290.37","332.75","232.35","2,40,97,152","6,99,71,27,767.10","1,69,352"
"12-Dec-2018","EQ","283.75","285.85","282.20","281.25","285.30","285.25","284.28","332.75","232.35","2,17,65,939","6,18,77,07,316.65","1,40,224"
"11-Dec-2018","EQ","268.35","283.25","268.35","274.20","281.75","281.25","277.93","332.75","232.35","3,09,27,239","8,59,56,45,307.20","1,59,532"
"10-Dec-2018","EQ","271.00","276.40","270.15","275.40","274.35","274.20","273.76","332.75","232.35","1,19,47,887","3,27,08,65,310.60","95,048"
"07-Dec-2018","EQ","277.00","277.35","272.10","275.65","276.00","275.40","274.83","332.75","232.35","1,01,65,275","2,79,37,42,930.10","84,832"
"06-Dec-2018","EQ","278.00","279.25","275.10","280.15","275.60","275.65","276.50","332.75","232.35","1,10,83,451","3,06,45,68,590.55","78,787"
"05-Dec-2018","EQ","282.45","283.20","277.05","282.55","280.20","280.15","281.13","332.75","232.35","1,48,93,748","4,18,70,61,676.00","1,01,310"
"04-Dec-2018","EQ","287.95","287.95","281.90","286.80","282.60","282.55","284.69","332.75","232.35","1,18,97,307","3,38,70,70,129.40","86,407"
"03-Dec-2018","EQ","286.70","287.90","283.25","284.65","287.10","286.80","285.68","332.75","232.35","1,57,72,176","4,50,57,43,735.65","88,152"
"30-Nov-2018","EQ","288.80","290.90","283.20","286.40","284.05","284.65","286.52","337.00","232.35","1,75,83,510","5,03,79,66,586.25","1,12,488"
"29-Nov-2018","EQ","289.30","289.65","284.25","284.55","288.00","286.40","287.09","337.00","232.35","2,79,19,104","8,01,52,09,289.00","1,30,270"
"28-Nov-2018","EQ","289.40","292.45","283.00","289.40","284.00","284.55","288.74","337.00","232.35","1,98,37,609","5,72,79,88,599.35","1,50,289"
"27-Nov-2018","EQ","284.60","290.50","284.05","286.40","289.00","289.40","287.89","337.00","232.35","2,12,42,956","6,11,56,69,737.05","1,45,650"
"26-Nov-2018","EQ","284.10","287.25","279.60","282.70","286.50","286.40","283.47","337.00","232.35","1,68,46,820","4,77,55,79,759.10","1,40,976"
"22-Nov-2018","EQ","285.95","287.05","281.60","287.05","282.65","282.70","284.33","339.65","232.35","1,20,66,797","3,43,09,76,457.65","1,00,389"
"21-Nov-2018","EQ","283.45","289.55","283.05","283.45","286.50","287.05","286.74","339.65","232.35","1,61,67,419","4,63,58,88,119.95","1,16,591"
"20-Nov-2018","EQ","285.90","288.55","282.50","288.15","282.60","283.45","285.14","339.65","232.35","1,29,00,924","3,67,85,78,975.00","92,016"
"19-Nov-2018","EQ","293.50","293.50","286.05","290.90","288.05","288.15","288.82","339.65","232.35","1,37,99,970","3,98,57,55,513.50","96,893"
"16-Nov-2018","EQ","285.90","291.80","282.60","285.40","291.55","290.90","287.94","346.70","232.35","2,48,05,910","7,14,25,10,553.75","1,63,592"
"15-Nov-2018","EQ","283.85","287.05","281.15","283.60","285.00","285.40","284.37","346.70","232.35","1,84,45,463","5,24,52,58,478.75","1,28,213"
"14-Nov-2018","EQ","280.40","287.70","278.00","278.05","283.05","283.60","282.50","346.70","232.35","5,26,74,807","14,88,04,76,327.55","1,94,345"
"13-Nov-2018","EQ","276.30","279.70","273.35","277.95","279.40","278.05","276.23","346.70","232.35","2,56,33,628","7,08,07,64,173.80","1,21,432"
"12-Nov-2018","EQ","283.70","283.70","276.85","283.25","277.20","277.95","279.74","346.70","232.35","2,40,44,907","6,72,63,49,319.25","1,22,013"
"09-Nov-2018","EQ","287.00","287.50","282.45","286.55","283.10","283.25","284.58","346.70","232.35","1,92,01,007","5,46,42,40,980.60","1,52,877"
"07-Nov-2018","EQ","288.90","288.90","285.95","286.45","287.00","286.55","286.71","346.70","232.35","33,12,160","94,96,38,746.55","31,229"
"06-Nov-2018","EQ","296.10","298.30","283.90","294.95","285.25","286.45","289.58","346.70","232.35","4,06,88,243","11,78,23,90,355.95","2,55,219"
"05-Nov-2018","EQ","286.45","300.00","283.50","285.35","296.10","294.95","292.00","346.70","232.35","4,46,19,891","13,02,91,92,576.75","2,74,735"
"02-Nov-2018","EQ","287.90","292.80","283.20","285.90","285.55","285.35","288.62","346.70","232.35","2,77,60,214","8,01,22,23,291.35","1,76,838"
"01-Nov-2018","EQ","283.00","289.00","278.85","281.40","285.65","285.90","285.01","346.70","232.35","2,91,44,808","8,30,66,95,739.25","1,91,818"
"31-Oct-2018","EQ","275.00","282.75","268.60","273.15","280.75","281.40","275.87","346.70","232.35","2,81,37,370","7,76,22,68,066.65","1,96,431"
"30-Oct-2018","EQ","267.50","279.10","266.00","267.90","273.90","273.15","274.64","346.70","232.35","3,34,01,683","9,17,34,95,497.60","2,41,590"
"29-Oct-2018","EQ","250.00","269.25","248.40","248.10","267.50","267.90","262.11","346.70","232.35","3,77,68,359","9,89,94,44,882.55","2,35,624"
"26-Oct-2018","EQ","252.00","252.50","247.40","249.55","247.90","248.10","250.07","351.30","232.35","2,05,43,437","5,13,72,10,163.80","1,26,405"
"25-Oct-2018","EQ","254.50","255.00","248.40","255.70","250.65","249.55","250.37","351.30","232.35","3,30,66,232","8,27,88,23,315.70","2,06,019"
"24-Oct-2018","EQ","260.25","261.80","252.80","255.65","255.90","255.70","257.40","351.30","232.35","2,56,36,533","6,59,88,33,672.20","1,28,911"
"23-Oct-2018","EQ","258.00","259.00","255.00","260.35","255.90","255.65","256.83","351.30","232.35","2,02,06,307","5,18,96,77,167.30","1,29,664"
"22-Oct-2018","EQ","266.00","266.00","259.45","261.10","260.00","260.35","263.03","351.30","232.35","1,99,33,462","5,24,31,82,228.50","1,39,531"
"19-Oct-2018","EQ","259.70","264.20","258.10","261.15","261.15","261.10","260.66","351.30","232.35","2,84,74,307","7,42,20,11,214.15","1,98,786"
"17-Oct-2018","EQ","273.75","275.00","260.00","270.30","261.00","261.15","266.57","351.30","232.35","2,16,31,573","5,76,62,75,182.85","1,73,764"
"16-Oct-2018","EQ","264.60","270.85","263.35","263.20","270.35","270.30","267.89","351.30","232.35","3,35,97,068","9,00,03,09,795.95","1,58,126"
"15-Oct-2018","EQ","264.40","265.70","261.10","263.75","263.15","263.20","262.91","351.30","232.35","2,19,65,859","5,77,50,47,466.30","1,37,105"
"12-Oct-2018","EQ","266.00","267.90","261.50","262.15","263.70","263.75","265.06","351.30","232.35","4,29,67,696","11,38,90,44,523.95","1,97,824"
"11-Oct-2018","EQ","268.00","271.50","260.60","278.65","261.70","262.15","263.79","351.30","232.35","4,62,91,120","12,21,10,95,759.20","2,63,698"
"10-Oct-2018","EQ","261.60","280.45","261.20","262.95","277.30","278.65","271.41","351.30","232.35","3,17,72,330","8,62,33,28,612.10","1,74,117"
"09-Oct-2018","EQ","268.00","268.15","260.00","265.75","262.75","262.95","263.56","351.30","232.35","1,60,10,883","4,21,97,88,575.35","1,17,931"
"08-Oct-2018","EQ","259.75","268.50","258.35","258.35","266.00","265.75","262.30","351.30","232.35","2,11,00,804","5,53,46,51,742.10","1,46,549"
"05-Oct-2018","EQ","271.00","271.00","256.00","271.35","258.30","258.35","264.55","351.30","232.35","3,66,28,643","9,69,02,54,318.10","2,10,659"
"04-Oct-2018","EQ","267.95","272.70","265.70","271.70","269.40","271.35","269.48","351.30","232.35","1,77,54,204","4,78,44,66,876.95","1,04,521"
"03-Oct-2018","EQ","273.35","278.70","270.60","273.85","271.50","271.70","274.04","351.30","232.35","1,97,14,943","5,40,27,56,515.25","1,23,868"
"01-Oct-2018","EQ","265.50","275.20","264.10","265.50","274.10","273.85","268.85","351.30","232.35","1,77,11,738","4,76,17,98,327.20","1,38,561"
"28-Sep-2018","EQ","266.40","273.50","262.50","265.35","265.50","265.50","268.19","351.30","232.35","3,38,03,139","9,06,57,96,801.30","1,83,277"
"27-Sep-2018","EQ","264.50","268.60","263.75","263.85","265.50","265.35","266.30","351.30","232.35","2,48,29,383","6,61,21,25,475.20","1,24,638"
"26-Sep-2018","EQ","274.00","274.00","262.75","270.90","263.00","263.85","266.42","351.30","232.35","2,39,51,904","6,38,13,36,197.15","1,55,258"
"25-Sep-2018","EQ","264.00","272.95","260.80","264.35","272.50","270.90","265.54","351.30","232.35","2,89,48,831","7,68,71,99,315.20","1,82,855"
"24-Sep-2018","EQ","272.70","273.00","262.60","270.60","263.35","264.35","266.54","351.30","232.35","2,46,33,374","6,56,58,08,186.65","1,24,419"
"21-Sep-2018","EQ","274.20","279.45","253.40","271.50","270.45","270.60","272.26","351.30","232.35","3,93,08,482","10,70,19,50,600.75","2,18,461"
"19-Sep-2018","EQ","275.40","282.85","270.50","273.80","271.15","271.50","273.54","351.30","232.35","4,07,59,431","11,14,94,65,640.85","2,19,193"
"18-Sep-2018","EQ","285.00","286.90","272.40","285.30","273.60","273.80","277.31","351.30","232.35","3,39,01,000","9,40,12,20,053.45","1,77,012"
"17-Sep-2018","EQ","288.50","288.50","284.10","290.65","285.10","285.30","285.73","351.30","232.35","1,60,89,996","4,59,74,25,846.05","97,436"
"14-Sep-2018","EQ","290.10","291.80","288.70","285.30","290.65","290.65","290.29","351.30","232.35","1,51,49,585","4,39,78,39,262.05","1,01,589"
"12-Sep-2018","EQ","284.00","286.70","280.00","282.60","285.85","285.30","283.62","351.30","232.35","2,27,17,796","6,44,31,64,746.85","1,47,354"
"11-Sep-2018","EQ","287.35","291.45","281.65","284.85","282.00","282.60","287.14","351.30","232.35","2,83,61,400","8,14,37,74,015.90","1,64,245"
"10-Sep-2018","EQ","290.65","293.25","283.80","291.65","284.50","284.85","287.90","351.30","232.35","2,33,54,395","6,72,37,42,577.50","1,46,448"
"07-Sep-2018","EQ","295.90","295.90","289.45","296.45","291.10","291.65","291.75","351.30","232.35","2,37,16,678","6,91,92,85,169.30","1,50,105"
"06-Sep-2018","EQ","298.00","299.85","294.50","296.55","294.90","296.45","297.34","351.30","232.35","1,80,01,336","5,35,26,03,390.05","1,11,206"
"05-Sep-2018","EQ","296.50","298.85","290.40","296.40","296.90","296.55","295.18","351.30","232.35","2,29,22,686","6,76,64,03,146.00","1,48,306"
"04-Sep-2018","EQ","306.80","307.45","295.45","306.35","296.25","296.40","303.13","351.30","232.35","4,28,59,084","12,99,17,66,170.45","1,49,148"
"03-Sep-2018","EQ","312.50","312.50","304.80","309.60","305.65","306.35","310.10","351.30","232.35","1,47,08,076","4,56,09,44,743.85","94,708"
