"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2014","EQ","956.00","957.30","949.75","956.45","950.90","951.60","951.92","973.95","616.80","12,48,132","1,18,81,18,820.55","17,706"
"30-Dec-2014","IL","1,049.00","1,060.00","1,049.00","1,010.00","-","1,060.00","1,054.55","1,060.00","620.50","29,703","3,13,23,447.00","2"
"30-Dec-2014","EQ","950.00","959.60","942.75","951.70","955.20","956.45","951.15","973.95","616.80","14,20,300","1,35,09,24,907.90","19,515"
"29-Dec-2014","EQ","950.10","956.00","948.30","948.65","948.50","951.70","952.05","973.95","616.80","9,03,700","86,03,71,093.85","12,326"
"26-Dec-2014","EQ","950.40","952.95","942.55","945.25","949.30","948.65","948.85","973.95","616.80","8,41,620","79,85,67,068.30","27,171"
"24-Dec-2014","EQ","957.90","964.80","941.10","959.75","946.50","945.25","949.10","973.95","616.80","41,66,203","3,95,41,32,036.95","38,386"
"23-Dec-2014","EQ","959.70","973.95","955.35","963.70","960.00","959.75","964.96","973.95","616.80","18,86,020","1,81,99,30,435.35","26,751"
"22-Dec-2014","EQ","954.00","966.10","942.50","941.45","965.35","963.70","952.83","966.10","616.80","20,73,903","1,97,60,71,724.50","33,097"
"19-Dec-2014","EQ","945.05","949.00","932.50","934.05","943.00","941.45","941.27","965.90","616.80","15,28,527","1,43,87,50,575.70","25,080"
"18-Dec-2014","EQ","932.60","936.50","922.05","921.85","934.00","934.05","929.15","965.90","616.80","16,23,457","1,50,84,32,197.00","63,379"
"17-Dec-2014","EQ","926.00","932.50","916.00","925.75","919.00","921.85","921.16","965.90","616.80","17,66,004","1,62,67,73,388.55","29,232"
"16-Dec-2014","EQ","937.55","942.00","917.00","941.50","928.00","925.75","928.05","965.90","616.80","12,47,489","1,15,77,31,721.85","22,916"
"15-Dec-2014","EQ","930.00","944.30","928.00","931.50","942.25","941.50","938.78","965.90","616.80","16,59,657","1,55,80,45,447.10","26,589"
"12-Dec-2014","IL","1,010.00","1,010.00","1,010.00","995.05","-","1,010.00","1,010.00","1,023.00","620.50","74,400","7,51,44,000.00","2"
"12-Dec-2014","EQ","933.00","936.20","929.00","933.60","932.10","931.50","932.27","965.90","616.80","11,54,207","1,07,60,33,768.50","42,368"
"11-Dec-2014","EQ","929.90","935.75","925.00","931.40","933.50","933.60","930.02","965.90","616.80","12,04,711","1,12,04,03,292.70","20,635"
"10-Dec-2014","EQ","926.10","935.00","925.30","926.75","932.35","931.40","929.97","965.90","616.80","13,91,358","1,29,39,21,584.10","34,011"
"09-Dec-2014","EQ","925.05","935.00","925.05","927.15","927.70","926.75","929.61","965.90","616.80","12,18,336","1,13,25,78,376.30","25,118"
"08-Dec-2014","EQ","945.00","945.00","925.00","942.75","927.80","927.15","935.19","965.90","616.80","10,14,282","94,85,47,738.90","22,837"
"05-Dec-2014","EQ","941.00","944.40","935.70","941.40","942.00","942.75","939.67","965.90","616.80","10,18,545","95,70,94,899.75","16,965"
"04-Dec-2014","IL","995.05","995.05","995.05","1,023.00","-","995.05","995.05","1,023.00","620.50","42,940","4,27,27,447.00","1"
"04-Dec-2014","EQ","940.00","944.25","932.00","933.10","941.35","941.40","937.19","965.90","616.80","17,09,776","1,60,23,79,177.80","35,647"
"03-Dec-2014","EQ","942.00","944.05","932.00","943.30","932.50","933.10","937.18","965.90","616.80","16,65,296","1,56,06,77,388.25","37,465"
"02-Dec-2014","EQ","941.75","949.60","939.20","950.00","942.00","943.30","943.71","965.90","616.80","11,29,389","1,06,58,18,266.50","17,017"
"01-Dec-2014","EQ","958.30","962.45","948.20","957.15","950.05","950.00","954.07","965.90","616.80","18,47,282","1,76,24,39,671.25","34,375"
"28-Nov-2014","EQ","948.00","965.90","947.00","948.15","955.00","957.15","958.80","965.90","616.80","23,12,965","2,21,76,78,609.30","30,875"
"27-Nov-2014","EQ","950.60","953.80","943.00","951.30","946.15","948.15","948.09","959.90","616.80","33,02,862","3,13,14,04,398.15","26,899"
"26-Nov-2014","IL","1,023.00","1,023.00","1,023.00","1,022.50","-","1,023.00","1,023.00","1,023.00","620.50","658","6,73,134.00","1"
"26-Nov-2014","EQ","939.80","959.90","933.30","953.55","949.50","951.30","950.16","959.90","616.80","22,44,107","2,13,22,71,081.30","35,420"
"25-Nov-2014","EQ","943.00","958.80","939.00","945.20","957.25","953.55","951.21","958.80","616.80","30,39,127","2,89,08,58,225.30","47,721"
"24-Nov-2014","IL","1,022.50","1,022.50","1,022.50","994.00","-","1,022.50","1,022.50","1,022.50","620.50","60,000","6,13,50,000.00","1"
"24-Nov-2014","EQ","932.35","950.00","928.10","932.85","946.80","945.20","940.00","950.00","616.80","18,29,215","1,71,94,61,082.75","26,753"
"21-Nov-2014","EQ","921.20","935.00","914.05","918.20","932.20","932.85","927.47","937.70","616.80","22,05,952","2,04,59,53,720.75","40,560"
"20-Nov-2014","EQ","927.95","927.95","912.10","926.55","919.00","918.20","916.99","937.70","616.80","11,92,593","1,09,35,93,797.35","27,171"
"19-Nov-2014","EQ","935.05","937.70","922.15","932.20","925.05","926.55","928.81","937.70","616.80","8,63,712","80,22,20,923.00","16,842"
"18-Nov-2014","EQ","921.00","935.00","912.00","918.95","933.95","932.20","924.73","935.00","616.80","22,97,278","2,12,43,62,528.55","28,009"
"17-Nov-2014","EQ","930.00","934.00","908.00","930.10","919.20","918.95","917.19","934.00","616.80","33,66,021","3,08,72,64,928.85","51,042"
"14-Nov-2014","IL","994.00","994.00","994.00","985.00","-","994.00","994.00","994.00","620.50","6,07,899","60,42,51,606.00","26"
"14-Nov-2014","EQ","918.20","933.00","911.75","915.95","932.00","930.10","922.01","933.00","616.70","21,09,514","1,94,50,02,514.50","30,693"
"13-Nov-2014","EQ","915.50","920.00","903.90","911.75","914.00","915.95","913.15","920.30","616.70","18,47,238","1,68,67,97,086.30","19,754"
"12-Nov-2014","IL","983.50","985.00","983.50","970.00","-","985.00","984.57","985.00","620.50","3,50,000","34,46,00,000.00","8"
"12-Nov-2014","EQ","911.00","919.90","904.15","907.90","912.00","911.75","913.98","920.30","616.70","22,64,666","2,06,98,59,729.95","29,367"
"11-Nov-2014","EQ","905.90","917.30","902.40","904.65","909.00","907.90","909.38","920.30","616.70","14,78,352","1,34,43,80,492.85","20,420"
"10-Nov-2014","EQ","899.50","908.35","893.00","899.45","907.95","904.65","899.32","920.30","616.70","15,97,439","1,43,66,08,096.85","22,569"
"07-Nov-2014","IL","965.00","971.00","962.00","971.00","-","970.00","963.95","971.00","620.50","12,37,778","1,19,31,51,172.00","88"
"07-Nov-2014","EQ","905.00","906.60","893.65","912.80","899.50","899.45","899.67","920.30","616.70","22,57,123","2,03,06,72,580.80","38,001"
"05-Nov-2014","EQ","915.05","920.30","910.25","910.70","912.30","912.80","916.70","920.30","616.70","18,81,045","1,72,43,55,446.20","23,370"
"03-Nov-2014","EQ","915.20","919.30","905.40","911.85","911.80","910.70","910.62","919.30","616.70","18,09,912","1,64,81,42,343.15","35,259"
"31-Oct-2014","EQ","900.10","914.60","897.35","896.65","912.80","911.85","910.13","914.60","616.70","25,26,497","2,29,94,51,230.25","34,459"
"30-Oct-2014","IL","958.05","971.00","958.05","960.00","-","971.00","961.29","971.00","620.50","2,00,000","19,22,57,500.00","3"
"30-Oct-2014","EQ","889.90","899.95","887.10","891.55","896.40","896.65","895.16","909.60","616.70","26,84,545","2,40,30,93,237.15","20,584"
"29-Oct-2014","IL","960.00","960.00","960.00","960.00","-","960.00","960.00","968.00","620.50","3,60,000","34,56,00,000.00","4"
"29-Oct-2014","EQ","900.20","902.50","890.00","895.30","892.50","891.55","894.10","909.60","616.70","19,74,047","1,76,50,04,343.90","17,994"
"28-Oct-2014","IL","960.00","960.00","960.00","968.00","-","960.00","960.00","968.00","620.50","94,555","9,07,72,800.00","1"
"28-Oct-2014","EQ","899.00","900.20","894.00","897.25","895.00","895.30","896.34","909.60","616.70","14,50,873","1,30,04,80,136.65","12,318"
"27-Oct-2014","IL","968.00","968.00","968.00","961.00","-","968.00","968.00","968.00","620.50","11,619","1,12,47,192.00","1"
"27-Oct-2014","EQ","899.05","907.30","894.15","896.45","896.90","897.25","901.66","909.60","616.70","16,81,192","1,51,58,64,098.60","23,911"
"23-Oct-2014","EQ","893.00","897.85","892.00","893.65","897.00","896.45","895.56","909.60","616.70","2,24,723","20,12,52,440.60","4,075"
"22-Oct-2014","EQ","905.05","906.35","891.25","895.55","894.45","893.65","897.33","909.60","616.70","11,42,886","1,02,55,50,693.55","24,010"
"21-Oct-2014","EQ","900.00","905.75","887.65","893.80","896.75","895.55","895.97","909.60","616.70","40,09,288","3,59,22,10,884.45","58,683"
"20-Oct-2014","IL","961.00","961.00","961.00","920.75","-","961.00","961.00","961.00","620.50","3,12,471","30,02,84,631.00","7"
"20-Oct-2014","EQ","894.00","909.60","890.15","885.25","896.95","893.80","895.84","909.60","616.70","23,83,001","2,13,47,90,815.55","40,338"
"17-Oct-2014","EQ","860.25","888.10","857.10","858.85","887.80","885.25","879.99","892.95","616.70","24,94,480","2,19,51,05,918.55","31,418"
"16-Oct-2014","EQ","868.40","874.00","855.05","868.35","856.00","858.85","866.00","892.95","616.70","13,83,271","1,19,79,08,059.80","17,636"
"14-Oct-2014","IL","929.50","929.50","917.00","926.00","-","920.75","923.81","930.00","620.50","1,14,596","10,58,64,532.00","3"
"14-Oct-2014","EQ","885.00","885.95","865.15","876.80","867.00","868.35","870.26","892.95","616.70","18,16,560","1,58,08,80,800.10","31,433"
"13-Oct-2014","EQ","864.00","878.00","855.65","867.30","876.10","876.80","867.69","892.95","616.70","13,44,128","1,16,62,91,696.35","22,045"
"10-Oct-2014","EQ","883.05","885.15","864.90","887.60","868.80","867.30","872.21","892.95","616.70","10,66,745","93,04,30,585.75","17,468"
"09-Oct-2014","EQ","874.00","892.95","868.25","867.60","886.15","887.60","882.29","892.95","616.70","19,12,605","1,68,74,72,049.80","26,754"
"08-Oct-2014","EQ","860.55","870.00","858.30","862.45","867.00","867.60","864.20","879.80","616.70","7,85,096","67,84,77,879.35","15,141"
"07-Oct-2014","EQ","865.00","867.00","854.10","868.00","860.25","862.45","860.34","879.80","616.70","12,56,572","1,08,10,79,202.30","29,438"
"01-Oct-2014","IL","921.50","926.00","915.00","923.20","-","926.00","920.81","930.00","620.50","15,61,040","1,43,74,22,176.25","84"
"01-Oct-2014","EQ","866.00","871.15","860.50","872.65","865.05","868.00","866.37","879.80","587.70","14,67,547","1,27,14,45,355.80","34,321"
"30-Sep-2014","IL","915.80","923.50","915.00","911.60","-","923.20","922.38","930.00","620.50","3,49,660","32,25,20,628.00","17"
"30-Sep-2014","EQ","864.20","879.80","861.15","865.10","872.20","872.65","871.02","879.80","587.70","30,08,858","2,62,07,73,950.20","36,067"
"29-Sep-2014","EQ","873.00","877.35","861.20","871.65","866.25","865.10","869.56","879.00","587.70","21,70,567","1,88,74,35,223.85","39,318"
"26-Sep-2014","EQ","849.95","879.00","845.00","849.95","870.95","871.65","862.14","879.00","587.70","24,70,563","2,12,99,80,063.70","40,229"
"25-Sep-2014","IL","920.00","923.50","892.00","914.00","-","911.60","914.89","930.00","620.50","1,46,201","13,37,57,201.60","7"
"25-Sep-2014","EQ","853.00","865.60","842.10","855.45","853.50","849.95","855.60","869.90","587.70","41,48,990","3,54,98,74,037.80","44,127"
"24-Sep-2014","EQ","847.10","857.30","845.05","848.85","854.40","855.45","852.63","869.90","587.70","16,66,374","1,42,08,06,593.55","17,193"
"23-Sep-2014","IL","912.00","914.00","912.00","915.60","-","914.00","913.92","930.00","620.50","1,27,644","11,66,56,416.00","4"
"23-Sep-2014","EQ","856.05","857.85","845.60","856.85","849.25","848.85","852.28","869.90","587.70","11,79,244","1,00,50,45,942.00","27,882"
"22-Sep-2014","EQ","856.95","858.50","851.00","860.25","855.90","856.85","854.45","869.90","587.70","16,33,579","1,39,58,09,136.30","13,849"
"19-Sep-2014","EQ","860.00","865.00","851.40","858.15","859.50","860.25","858.09","869.90","587.70","16,35,527","1,40,34,21,659.80","17,170"
"18-Sep-2014","IL","915.60","915.60","915.60","914.00","-","915.60","915.60","930.00","620.50","1,35,000","12,36,06,000.00","3"
"18-Sep-2014","EQ","844.75","861.00","842.25","846.40","856.00","858.15","855.16","869.90","587.70","16,63,142","1,42,22,44,966.65","21,301"
"17-Sep-2014","IL","914.00","914.00","914.00","919.00","-","914.00","914.00","930.00","620.50","7,832","71,58,448.00","1"
"17-Sep-2014","EQ","855.00","855.90","842.10","851.00","844.70","846.40","847.24","869.90","587.70","19,76,474","1,67,45,56,093.65","18,252"
"16-Sep-2014","IL","920.00","920.00","919.00","921.75","-","919.00","919.61","930.00","620.50","1,65,000","15,17,35,000.00","3"
"16-Sep-2014","EQ","861.00","862.05","848.00","860.35","851.00","851.00","855.60","869.90","587.70","12,69,067","1,08,58,09,359.15","12,203"
"15-Sep-2014","IL","921.75","921.75","921.75","928.00","-","921.75","921.75","930.00","620.50","2,62,559","24,20,13,758.25","6"
"15-Sep-2014","EQ","850.00","865.00","850.00","855.70","859.05","860.35","861.14","869.90","587.70","14,52,272","1,25,06,13,571.80","15,283"
"12-Sep-2014","EQ","850.10","858.00","848.95","854.35","856.85","855.70","854.47","869.90","587.70","15,21,639","1,30,02,00,196.55","14,805"
"11-Sep-2014","EQ","857.40","863.10","853.00","857.30","854.55","854.35","856.02","869.90","587.70","16,33,216","1,39,80,64,099.15","22,415"
"10-Sep-2014","IL","928.00","928.00","928.00","930.00","-","928.00","928.00","930.00","620.50","50,000","4,64,00,000.00","1"
"10-Sep-2014","EQ","865.00","865.00","854.10","865.60","857.50","857.30","858.17","869.90","587.70","10,78,563","92,55,94,891.50","13,343"
"09-Sep-2014","EQ","860.10","869.90","857.80","864.75","865.50","865.60","865.33","869.90","587.70","19,15,261","1,65,73,40,124.25","19,713"
"08-Sep-2014","EQ","851.00","867.80","849.45","848.45","864.25","864.75","860.02","867.80","587.70","24,47,086","2,10,45,48,927.05","36,800"
"05-Sep-2014","EQ","852.00","855.55","844.10","851.85","848.10","848.45","848.55","865.00","557.05","9,58,802","81,35,89,304.05","24,663"
"04-Sep-2014","EQ","858.05","859.00","848.50","856.65","852.65","851.85","854.42","865.00","557.05","16,01,742","1,36,85,55,750.15","33,278"
"03-Sep-2014","IL","930.00","930.00","930.00","889.00","-","930.00","930.00","930.00","620.50","19,168","1,78,26,240.00","1"
"03-Sep-2014","EQ","865.00","865.00","851.60","859.20","857.00","856.65","858.55","865.00","557.05","23,08,695","1,98,21,37,487.70","26,531"
"02-Sep-2014","EQ","843.10","861.10","838.65","841.20","859.50","859.20","854.74","861.10","557.05","28,60,563","2,44,50,41,626.85","43,699"
"01-Sep-2014","EQ","845.90","849.00","838.60","843.55","844.00","841.20","843.14","860.70","557.05","10,38,664","87,57,38,669.15","22,079"
"28-Aug-2014","EQ","837.50","845.50","834.00","836.60","840.95","843.55","841.60","860.70","528.00","19,97,863","1,68,14,08,754.50","13,824"
"27-Aug-2014","EQ","846.00","846.00","834.00","842.50","836.75","836.60","838.49","860.70","528.00","12,13,242","1,01,72,95,653.65","14,370"
"26-Aug-2014","EQ","844.50","848.50","838.10","843.45","841.90","842.50","843.32","860.70","528.00","10,41,314","87,81,64,553.70","18,282"
"25-Aug-2014","EQ","843.00","852.80","837.20","846.75","844.20","843.45","847.58","860.70","528.00","16,64,016","1,41,03,85,614.00","23,433"
"22-Aug-2014","IL","878.00","889.00","878.00","878.00","-","889.00","883.50","903.00","620.50","1,50,000","13,25,25,000.00","6"
"22-Aug-2014","EQ","834.35","848.75","828.05","832.50","846.30","846.75","841.19","860.70","528.00","25,03,822","2,10,61,81,607.45","40,865"
"21-Aug-2014","IL","878.00","878.00","878.00","850.00","-","878.00","878.00","903.00","620.50","25,000","2,19,50,000.00","1"
"21-Aug-2014","EQ","822.00","835.20","821.00","820.55","834.90","832.50","829.26","860.70","528.00","15,97,620","1,32,48,44,950.15","21,013"
"20-Aug-2014","EQ","829.00","834.60","819.00","823.85","820.00","820.55","825.16","860.70","528.00","23,58,713","1,94,63,24,304.00","30,986"
"19-Aug-2014","EQ","833.00","837.50","822.25","832.35","824.15","823.85","827.04","860.70","528.00","19,73,214","1,63,19,17,891.00","21,619"
"18-Aug-2014","EQ","830.00","834.50","823.60","826.70","833.00","832.35","830.85","860.70","528.00","16,75,542","1,39,21,25,359.85","24,942"
"14-Aug-2014","EQ","814.10","831.65","813.30","812.40","825.85","826.70","827.37","860.70","528.00","29,68,306","2,45,58,76,243.95","30,795"
"13-Aug-2014","IL","850.00","850.00","850.00","853.10","-","850.00","850.00","903.00","620.50","1,41,187","12,00,08,950.00","6"
"13-Aug-2014","EQ","810.00","815.75","802.65","807.20","813.95","812.40","810.59","860.70","528.00","19,59,955","1,58,87,22,072.10","32,244"
"12-Aug-2014","EQ","801.00","808.50","792.00","792.95","806.00","807.20","801.84","860.70","528.00","16,50,768","1,32,36,55,068.80","20,477"
"11-Aug-2014","EQ","801.00","802.85","791.40","796.15","793.95","792.95","795.72","860.70","528.00","14,06,556","1,11,92,21,372.05","26,323"
"08-Aug-2014","EQ","805.00","807.80","795.00","811.50","796.00","796.15","799.07","860.70","528.00","18,62,670","1,48,83,99,330.40","41,842"
"07-Aug-2014","EQ","812.90","818.50","810.00","810.00","811.30","811.50","813.81","860.70","528.00","9,83,435","80,03,28,359.75","12,993"
"06-Aug-2014","EQ","815.05","819.55","807.35","820.20","811.15","810.00","813.48","860.70","528.00","8,45,350","68,76,74,601.85","15,424"
"05-Aug-2014","EQ","817.00","823.00","809.90","813.00","819.60","820.20","816.13","860.70","528.00","15,19,276","1,23,99,30,255.95","15,793"
"04-Aug-2014","IL","850.00","853.10","850.00","880.25","-","853.10","852.86","903.00","620.50","95,896","8,17,85,590.40","2"
"04-Aug-2014","EQ","819.00","822.70","807.10","815.45","813.00","813.00","813.02","860.70","528.00","18,40,761","1,49,65,81,078.90","20,693"
"01-Aug-2014","EQ","826.05","827.80","812.00","834.00","818.75","815.45","820.41","860.70","528.00","17,07,115","1,40,05,40,706.70","25,789"
"31-Jul-2014","EQ","837.90","839.90","828.55","838.80","830.80","834.00","835.45","860.70","528.00","29,75,336","2,48,57,53,358.50","34,030"
"30-Jul-2014","IL","878.00","880.25","878.00","864.65","-","880.25","879.98","903.00","620.50","2,15,788","18,98,88,137.75","12"
"30-Jul-2014","EQ","831.00","841.90","826.85","829.55","837.90","838.80","834.92","860.70","528.00","11,71,345","97,79,84,480.95","14,892"
"28-Jul-2014","EQ","838.50","839.80","828.00","835.50","830.00","829.55","830.73","860.70","528.00","9,71,238","80,68,38,569.35","11,858"
"25-Jul-2014","EQ","841.00","849.80","834.15","842.25","834.90","835.50","841.02","860.70","528.00","26,66,488","2,24,25,58,582.40","29,105"
"24-Jul-2014","EQ","836.00","844.00","833.00","836.30","842.80","842.25","841.01","860.70","528.00","10,69,650","89,95,85,780.75","14,273"
"23-Jul-2014","EQ","843.10","845.00","835.00","839.85","836.00","836.30","840.21","860.70","528.00","19,62,463","1,64,88,87,401.35","32,439"
"22-Jul-2014","EQ","829.90","842.65","827.00","827.45","840.25","839.85","837.30","860.70","528.00","17,42,588","1,45,90,66,980.00","34,472"
"21-Jul-2014","EQ","841.70","846.95","825.25","832.45","826.50","827.45","835.74","860.70","528.00","24,53,414","2,05,04,09,272.45","36,997"
"18-Jul-2014","EQ","828.90","836.80","822.00","831.80","832.95","832.45","830.23","860.70","528.00","18,22,108","1,51,27,64,904.30","27,740"
"17-Jul-2014","EQ","838.70","839.00","829.50","835.75","834.40","831.80","833.49","860.70","528.00","12,59,775","1,05,00,14,864.45","18,234"
"16-Jul-2014","EQ","829.50","838.50","817.90","826.80","836.50","835.75","826.29","860.70","528.00","23,97,325","1,98,08,85,885.20","34,928"
"15-Jul-2014","EQ","820.75","828.80","816.50","817.45","826.20","826.80","822.93","860.70","528.00","15,23,009","1,25,33,28,850.15","21,095"
"14-Jul-2014","EQ","815.00","820.00","807.15","811.80","816.05","817.45","816.01","860.70","528.00","12,30,402","1,00,40,21,823.20","23,305"
"11-Jul-2014","EQ","821.10","831.45","808.80","823.35","812.00","811.80","817.15","860.70","528.00","22,99,695","1,87,92,05,757.90","24,079"
"10-Jul-2014","EQ","830.30","848.00","812.25","830.30","821.50","823.35","829.12","860.70","528.00","24,64,386","2,04,32,69,514.65","28,280"
"09-Jul-2014","EQ","828.00","834.85","818.00","829.25","830.75","830.30","828.57","860.70","528.00","14,48,888","1,20,04,99,706.40","16,613"
"08-Jul-2014","EQ","844.00","848.35","820.00","840.45","823.85","829.25","837.32","860.70","528.00","16,83,068","1,40,92,58,427.60","22,046"
"07-Jul-2014","EQ","859.90","860.70","835.85","856.65","839.65","840.45","846.03","860.70","528.00","20,32,992","1,71,99,62,235.40","27,105"
"04-Jul-2014","EQ","836.80","858.95","835.10","836.80","856.10","856.65","848.23","858.95","528.00","14,07,997","1,19,43,11,787.95","17,630"
"03-Jul-2014","IL","894.00","903.00","854.00","845.00","-","864.65","894.19","903.00","620.50","28,27,975","2,52,87,42,086.25","736"
"03-Jul-2014","EQ","841.00","845.30","831.35","839.90","839.00","836.80","837.35","856.00","528.00","15,15,685","1,26,91,61,998.00","15,910"
"02-Jul-2014","EQ","830.80","842.00","825.50","823.30","838.70","839.90","834.46","856.00","528.00","19,06,681","1,59,10,53,127.45","25,842"
"01-Jul-2014","EQ","823.00","827.95","815.00","821.55","823.95","823.30","819.73","856.00","528.00","19,10,343","1,56,59,63,084.35","34,734"
