"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2016","EQ","445.50","452.20","445.05","444.25","450.30","449.95","450.18","638.30","366.75","46,16,817","2,07,83,87,354.70","87,570"
"29-Dec-2016","EQ","442.00","445.90","437.70","440.05","445.90","444.25","442.37","638.30","366.75","60,82,573","2,69,07,75,731.00","1,48,525"
"28-Dec-2016","EQ","439.70","448.25","438.00","437.65","438.70","440.05","442.82","638.30","366.75","50,72,550","2,24,62,51,317.50","80,818"
"27-Dec-2016","EQ","431.10","438.90","431.10","432.00","435.80","437.65","435.64","638.30","366.75","46,94,669","2,04,51,80,054.75","90,729"
"26-Dec-2016","EQ","435.10","435.85","427.00","438.10","430.95","432.00","431.04","638.30","366.75","44,94,204","1,93,71,98,256.50","66,213"
"23-Dec-2016","EQ","448.00","449.35","436.00","447.55","436.20","438.10","441.77","638.30","366.75","90,18,273","3,98,40,23,768.55","1,18,922"
"22-Dec-2016","EQ","455.80","455.80","445.05","457.70","450.70","447.55","448.56","638.30","366.75","65,40,181","2,93,36,57,546.40","94,304"
"21-Dec-2016","EQ","463.55","465.80","455.10","461.65","455.80","457.70","461.28","638.30","366.75","44,54,408","2,05,47,09,482.60","77,905"
"20-Dec-2016","EQ","469.00","469.70","460.45","467.60","462.40","461.65","463.46","638.30","366.75","48,36,019","2,24,12,92,415.15","68,088"
"19-Dec-2016","EQ","469.50","472.75","466.45","472.80","468.90","467.60","468.59","638.30","366.75","37,35,250","1,75,02,87,174.90","62,844"
"16-Dec-2016","EQ","479.50","480.70","468.70","478.10","471.30","472.80","473.46","638.30","366.75","2,04,77,361","9,69,51,77,428.65","1,77,223"
"15-Dec-2016","EQ","459.10","479.40","459.10","467.20","478.75","478.10","473.37","638.30","366.75","1,80,21,627","8,53,08,99,869.25","2,15,450"
"14-Dec-2016","EQ","454.65","469.80","454.00","452.95","466.55","467.20","464.47","638.30","366.75","1,27,75,149","5,93,36,44,921.90","1,66,025"
"13-Dec-2016","EQ","445.80","454.45","442.30","445.10","453.50","452.95","447.94","638.30","366.75","84,04,874","3,76,48,67,827.20","1,12,381"
"12-Dec-2016","EQ","445.00","452.00","444.10","456.40","444.80","445.10","447.69","638.30","366.75","68,49,079","3,06,62,58,544.60","1,05,313"
"09-Dec-2016","EQ","451.70","458.00","445.55","449.35","455.65","456.40","452.06","638.30","366.75","77,80,448","3,51,72,54,749.75","1,20,526"
"08-Dec-2016","EQ","449.90","452.85","447.40","447.10","449.10","449.35","450.58","638.30","366.75","76,29,221","3,43,75,43,568.90","1,25,644"
"07-Dec-2016","EQ","457.85","457.85","441.25","455.95","447.00","447.10","452.47","638.30","366.75","75,58,363","3,41,99,48,613.45","1,09,401"
"06-Dec-2016","EQ","461.80","463.20","454.35","460.75","454.75","455.95","458.29","638.30","366.75","54,65,618","2,50,48,13,783.05","93,769"
"05-Dec-2016","EQ","457.70","464.70","455.80","459.95","461.30","460.75","459.97","638.30","366.75","49,95,436","2,29,77,63,201.85","77,514"
"02-Dec-2016","EQ","466.90","466.90","458.00","466.05","459.60","459.95","462.44","638.30","366.75","63,81,901","2,95,12,70,882.00","1,20,009"
"01-Dec-2016","EQ","474.00","474.45","464.30","469.85","465.00","466.05","467.42","638.30","366.75","74,51,748","3,48,31,20,005.40","1,32,985"
