"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"08-Feb-2024","EQ","1,072.00","1,075.60","1,031.65","1,069.10","1,036.90","1,035.90","1,043.39","1,151.85","814.30","98,69,141","10,29,73,86,835.70","2,72,590"
"07-Feb-2024","EQ","1,061.05","1,073.70","1,057.50","1,050.05","1,072.00","1,069.10","1,067.49","1,151.85","814.30","72,81,793","7,77,32,07,507.55","2,18,920"
"06-Feb-2024","EQ","1,061.55","1,065.10","1,048.20","1,061.50","1,053.00","1,050.05","1,054.50","1,151.85","814.30","80,11,171","8,44,77,59,890.10","2,00,742"
"05-Feb-2024","EQ","1,067.05","1,079.50","1,058.00","1,067.05","1,059.20","1,061.50","1,068.12","1,151.85","814.30","1,25,69,454","13,42,56,87,174.35","2,67,496"
"02-Feb-2024","EQ","1,088.05","1,096.20","1,065.00","1,084.25","1,067.70","1,067.05","1,078.73","1,151.85","814.30","86,67,415","9,34,97,78,291.60","2,62,152"
"01-Feb-2024","EQ","1,072.65","1,087.65","1,056.80","1,067.75","1,083.45","1,084.25","1,073.44","1,151.85","814.30","97,56,682","10,47,32,26,767.75","2,13,721"
"31-Jan-2024","EQ","1,048.20","1,084.10","1,042.70","1,054.10","1,067.50","1,067.75","1,068.90","1,151.85","814.30","1,26,00,390","13,46,85,19,443.45","3,03,223"
"30-Jan-2024","EQ","1,060.05","1,070.45","1,050.80","1,061.25","1,053.50","1,054.10","1,057.78","1,151.85","814.30","94,26,983","9,97,16,98,908.40","3,25,034"
"29-Jan-2024","EQ","1,036.00","1,068.00","1,036.00","1,042.25","1,060.85","1,061.25","1,058.12","1,151.85","814.30","1,11,88,604","11,83,89,09,653.55","2,05,125"
"25-Jan-2024","BL","1,059.15","1,059.15","1,059.15","1,119.70","1,059.15","1,059.15","1,059.15","1,119.70","968.00","2,14,153","22,68,20,149.95","1"
"25-Jan-2024","EQ","1,058.00","1,063.70","1,025.80","1,059.15","1,050.10","1,042.25","1,037.96","1,151.85","814.30","2,08,35,434","21,62,63,12,133.15","3,93,518"
"24-Jan-2024","EQ","1,034.80","1,073.20","1,020.90","1,089.25","1,059.60","1,059.15","1,050.55","1,151.85","814.30","2,08,84,046","21,93,96,93,940.10","3,81,021"
"23-Jan-2024","EQ","1,125.90","1,141.60","1,078.80","1,121.00","1,082.00","1,089.25","1,101.48","1,151.85","814.30","1,89,24,087","20,84,45,33,168.65","2,98,496"
"20-Jan-2024","EQ","1,121.00","1,126.45","1,102.80","1,116.55","1,118.10","1,121.00","1,115.57","1,151.85","814.30","50,55,594","5,63,98,82,327.70","1,13,131"
"19-Jan-2024","EQ","1,107.15","1,126.30","1,105.00","1,097.50","1,116.00","1,116.55","1,118.44","1,151.85","814.30","1,23,03,696","13,76,09,61,329.10","3,48,516"
"18-Jan-2024","EQ","1,066.00","1,108.75","1,066.00","1,082.30","1,093.25","1,097.50","1,095.78","1,151.85","814.30","1,14,73,135","12,57,20,42,567.15","2,64,860"
"17-Jan-2024","EQ","1,082.00","1,115.00","1,079.20","1,119.10","1,080.75","1,082.30","1,095.23","1,151.85","814.30","2,49,13,719","27,28,61,73,643.85","5,34,448"
"16-Jan-2024","EQ","1,116.65","1,127.80","1,115.10","1,119.50","1,120.20","1,119.10","1,121.84","1,151.85","814.30","52,29,753","5,86,69,22,578.85","1,51,286"
"15-Jan-2024","EQ","1,122.00","1,130.45","1,116.60","1,120.35","1,120.50","1,119.50","1,121.23","1,151.85","814.30","67,19,079","7,53,36,58,320.55","2,48,969"
"12-Jan-2024","EQ","1,126.35","1,129.45","1,118.05","1,125.75","1,119.05","1,120.35","1,122.27","1,151.85","814.30","56,16,755","6,30,35,28,702.20","2,48,340"
"11-Jan-2024","EQ","1,111.05","1,127.90","1,111.05","1,107.00","1,125.00","1,125.75","1,122.67","1,151.85","814.30","46,83,035","5,25,74,89,790.30","1,43,442"
"10-Jan-2024","EQ","1,115.25","1,116.00","1,099.05","1,116.55","1,106.95","1,107.00","1,106.11","1,151.85","814.30","59,34,163","6,56,38,41,404.30","1,33,259"
"09-Jan-2024","EQ","1,128.55","1,135.55","1,112.35","1,122.00","1,118.80","1,116.55","1,124.29","1,151.85","814.30","63,59,362","7,14,97,64,859.70","1,84,213"
"08-Jan-2024","EQ","1,145.00","1,146.00","1,118.50","1,136.95","1,122.00","1,122.00","1,131.56","1,151.85","814.30","47,35,538","5,35,85,48,732.15","1,40,745"
"05-Jan-2024","EQ","1,124.00","1,139.90","1,119.00","1,123.40","1,134.30","1,136.95","1,131.22","1,151.85","814.30","80,25,466","9,07,85,62,317.50","1,93,046"
"04-Jan-2024","EQ","1,103.00","1,130.00","1,100.05","1,098.60","1,125.00","1,123.40","1,120.15","1,151.85","814.30","1,14,11,683","12,78,27,78,096.05","1,79,554"
"03-Jan-2024","EQ","1,091.00","1,102.60","1,081.30","1,093.25","1,098.00","1,098.60","1,093.81","1,151.85","814.30","1,02,25,290","11,18,44,74,919.70","2,32,835"
"02-Jan-2024","EQ","1,095.10","1,099.35","1,082.30","1,097.70","1,089.25","1,093.25","1,091.41","1,151.85","814.30","78,95,577","8,61,73,45,938.55","1,87,704"
"01-Jan-2024","EQ","1,095.00","1,104.00","1,093.00","1,102.30","1,095.00","1,097.70","1,099.75","1,151.85","814.30","40,83,732","4,49,11,02,999.50","1,60,126"
