"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2013","EQ","734.95","735.00","725.50","731.80","727.70","728.25","728.29","807.35","588.00","1,80,271","13,12,89,978.00","12,794"
"30-Dec-2013","EQ","740.50","741.10","725.70","740.05","736.00","731.80","731.65","807.35","588.00","4,46,726","32,68,46,416.10","12,337"
"27-Dec-2013","EQ","729.70","742.95","727.00","725.90","739.00","740.05","738.19","807.35","588.00","5,34,567","39,46,11,736.35","22,230"
"26-Dec-2013","EQ","727.00","735.00","722.05","728.80","725.75","725.90","727.25","807.35","588.00","9,25,152","67,28,15,185.65","24,809"
"24-Dec-2013","EQ","734.00","735.00","723.00","732.55","726.10","728.80","728.99","807.35","588.00","2,90,553","21,18,11,513.20","17,744"
"23-Dec-2013","EQ","734.90","741.00","729.00","733.15","729.30","732.55","736.21","807.35","588.00","4,06,416","29,92,07,742.80","14,155"
"20-Dec-2013","EQ","722.70","736.35","715.05","721.95","735.40","733.15","722.63","807.35","588.00","10,89,017","78,69,60,019.85","30,655"
"19-Dec-2013","EQ","757.00","757.10","720.00","750.20","723.00","721.95","726.84","807.35","588.00","6,80,040","49,42,77,640.55","28,270"
"18-Dec-2013","EQ","740.90","763.15","738.50","740.60","749.90","750.20","750.43","807.35","588.00","10,75,427","80,70,28,200.25","43,377"
"17-Dec-2013","EQ","756.50","758.55","738.30","750.80","739.65","740.60","745.59","807.35","588.00","3,06,708","22,86,78,525.35","11,297"
"16-Dec-2013","EQ","758.40","759.05","747.80","758.50","751.00","750.80","752.78","807.35","588.00","3,58,169","26,96,22,985.40","17,943"
"13-Dec-2013","EQ","758.55","762.10","753.90","765.10","756.00","758.50","757.96","807.35","588.00","3,69,044","27,97,21,301.00","20,298"
"12-Dec-2013","EQ","762.20","770.70","757.25","768.95","764.95","765.10","764.28","807.35","588.00","3,01,313","23,02,86,004.40","10,773"
"11-Dec-2013","EQ","767.15","774.80","760.70","772.50","771.40","768.95","767.43","807.35","588.00","4,57,344","35,09,79,727.25","16,075"
"10-Dec-2013","EQ","764.25","776.80","754.55","763.90","773.00","772.50","764.95","807.35","588.00","7,62,378","58,31,79,520.65","20,257"
"09-Dec-2013","EQ","785.00","787.90","759.75","757.85","761.25","763.90","766.68","807.35","588.00","7,85,979","60,25,91,198.85","23,183"
"06-Dec-2013","EQ","764.30","769.00","751.65","761.95","759.35","757.85","757.97","807.35","588.00","6,29,218","47,69,27,254.15","20,507"
"05-Dec-2013","EQ","758.00","771.30","755.00","749.05","762.00","761.95","763.62","807.35","588.00","7,58,741","57,93,89,393.20","26,574"
"04-Dec-2013","EQ","753.10","761.40","746.65","758.70","748.80","749.05","752.96","807.35","588.00","5,47,847","41,25,08,324.15","20,651"
"03-Dec-2013","EQ","766.65","767.95","754.45","770.55","758.00","758.70","759.34","807.35","588.00","4,32,877","32,87,00,263.10","16,494"
"02-Dec-2013","EQ","756.25","774.00","756.25","756.80","769.35","770.55","764.75","807.35","588.00","4,75,375","36,35,41,085.70","14,810"
