"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2021","EQ","881.50","892.90","878.40","885.40","887.85","888.15","886.11","1,242.00","789.00","36,06,043","3,19,53,36,357.80","58,146"
"30-Dec-2021","EQ","864.00","893.45","860.00","870.00","888.00","885.40","882.28","1,242.00","789.00","1,23,54,342","10,90,00,49,000.40","1,09,896"
"29-Dec-2021","EQ","854.05","874.90","854.00","852.65","867.25","870.00","868.26","1,242.00","789.00","60,67,054","5,26,77,50,698.60","1,04,148"
"28-Dec-2021","EQ","864.00","865.75","845.10","855.25","852.95","852.65","852.73","1,242.00","789.00","46,60,498","3,97,41,56,763.35","73,904"
"27-Dec-2021","EQ","843.00","861.80","811.50","861.15","856.65","855.25","835.24","1,242.00","789.00","1,23,25,932","10,29,50,76,736.80","1,96,252"
"24-Dec-2021","EQ","878.00","878.80","846.80","871.10","860.85","861.15","856.62","1,242.00","789.00","34,62,247","2,96,58,27,181.45","73,152"
"23-Dec-2021","EQ","879.90","884.00","869.00","871.75","870.00","871.10","876.35","1,242.00","789.00","26,42,247","2,31,55,26,495.05","61,561"
"22-Dec-2021","EQ","861.45","885.00","861.00","857.20","872.80","871.75","873.73","1,242.00","789.00","36,19,713","3,16,26,55,271.25","78,715"
"21-Dec-2021","EQ","855.05","867.95","848.35","846.10","857.95","857.20","858.95","1,242.00","789.00","35,68,436","3,06,51,07,875.35","89,892"
"20-Dec-2021","EQ","874.00","874.00","830.80","883.00","848.00","846.10","848.24","1,242.00","789.00","47,00,733","3,98,73,52,689.95","1,50,185"
"17-Dec-2021","EQ","926.00","929.00","880.25","928.30","885.50","883.00","894.48","1,242.00","789.00","47,86,306","4,28,12,53,684.10","1,16,684"
"16-Dec-2021","EQ","945.00","949.35","921.15","938.55","929.65","928.30","933.15","1,242.00","789.00","24,57,432","2,29,31,55,809.25","63,040"
"15-Dec-2021","EQ","944.95","950.85","937.00","946.05","938.00","938.55","943.66","1,242.00","789.00","22,66,938","2,13,92,27,787.00","77,442"
"14-Dec-2021","EQ","932.00","949.15","924.20","938.55","945.00","946.05","936.82","1,242.00","789.00","27,25,729","2,55,35,17,188.15","66,116"
"13-Dec-2021","EQ","954.30","955.60","934.20","944.75","939.75","938.55","946.74","1,242.00","789.00","26,81,792","2,53,89,66,246.35","82,936"
"10-Dec-2021","EQ","960.00","968.00","938.00","946.40","944.00","944.75","950.32","1,242.00","789.00","66,05,152","6,27,70,17,647.70","1,26,049"
"09-Dec-2021","EQ","947.00","950.50","938.20","945.30","947.00","946.40","944.45","1,242.00","789.00","31,11,606","2,93,87,50,439.85","74,727"
"08-Dec-2021","EQ","936.00","949.00","932.50","926.65","943.20","945.30","939.32","1,242.00","789.00","37,74,244","3,54,52,33,653.75","65,800"
"07-Dec-2021","EQ","922.90","936.50","920.80","915.65","926.90","926.65","928.75","1,242.00","789.00","34,34,735","3,19,00,23,888.50","98,773"
"06-Dec-2021","EQ","952.00","952.00","914.00","951.15","916.00","915.65","928.05","1,242.00","789.00","46,17,346","4,28,51,43,226.25","1,04,559"
"03-Dec-2021","EQ","944.95","957.85","938.50","945.55","952.60","951.15","950.51","1,242.00","789.00","49,28,235","4,68,43,53,315.20","1,08,354"
"02-Dec-2021","EQ","935.00","950.00","925.65","933.65","947.00","945.55","938.86","1,242.00","789.00","57,03,967","5,35,52,04,623.35","1,12,965"
"01-Dec-2021","EQ","891.00","938.75","890.15","883.00","934.50","933.65","924.30","1,242.00","789.00","1,46,26,216","13,51,89,49,956.00","2,30,994"
"30-Nov-2021","EQ","902.00","927.50","875.70","895.45","878.35","883.00","902.94","1,242.00","789.00","69,64,145","6,28,82,31,864.90","1,41,548"
"29-Nov-2021","EQ","926.90","938.00","888.85","901.80","894.00","895.45","907.83","1,242.00","789.00","1,19,05,868","10,80,84,78,012.95","2,26,646"
"26-Nov-2021","EQ","951.00","956.95","898.00","959.30","899.95","901.80","923.13","1,242.00","789.00","67,46,021","6,22,74,40,295.25","1,82,483"
"25-Nov-2021","EQ","968.00","970.00","951.35","970.40","959.35","959.30","960.95","1,242.00","789.00","57,11,537","5,48,84,85,243.80","1,01,693"
"24-Nov-2021","EQ","989.00","993.65","966.00","981.35","968.00","970.40","983.77","1,242.00","789.00","66,46,771","6,53,89,03,584.90","1,29,495"
