Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
12-Dec-2011,BL,265.0,265.0,265.0,172.7,265.00,265.0,265.0,265.0,265.0,"10,00,000","26,50,00,000.00",1,INDUSINDBK
09-Dec-2011,EQ,254.35,262.95,251.7,258.35,261.25,260.4,259.5,297.95,200.0,"9,32,789","24,20,56,515.65","7,270",INDUSINDBK
08-Dec-2011,EQ,265.0,265.0,253.55,263.45,258.00,258.35,259.07,297.95,200.0,"4,01,959","10,41,34,944.25","6,925",INDUSINDBK
08-Dec-2011,IL,262.0,262.0,260.0,248.5,-,260.0,260.79,294.0,218.0,"2,48,062","6,46,92,244.00",2,INDUSINDBK
07-Dec-2011,EQ,275.65,276.9,262.55,273.6,262.65,263.45,266.86,297.95,200.0,"17,41,793","46,48,12,968.25","10,460",INDUSINDBK
05-Dec-2011,EQ,277.45,277.45,268.05,274.8,275.60,273.6,273.04,297.95,200.0,"3,49,611","9,54,56,787.90","5,946",INDUSINDBK
02-Dec-2011,EQ,260.0,276.0,258.3,260.75,275.75,274.8,270.21,309.4,200.0,"5,46,860","14,77,66,868.60","7,754",INDUSINDBK
01-Dec-2011,EQ,254.4,265.0,253.5,248.95,260.20,260.75,260.7,309.4,200.0,"6,39,726","16,67,75,060.95","8,009",INDUSINDBK
30-Nov-2011,EQ,258.0,260.25,245.5,255.5,246.00,248.95,252.5,309.4,200.0,"22,16,799","55,97,50,924.75","10,655",INDUSINDBK
30-Nov-2011,IL,249.0,249.6,246.0,260.5,-,248.5,248.51,294.0,218.0,"7,581","18,83,963.60",11,INDUSINDBK
29-Nov-2011,EQ,266.0,270.0,253.4,261.9,255.25,255.5,259.56,309.4,200.0,"4,75,605","12,34,45,787.75","6,642",INDUSINDBK
28-Nov-2011,EQ,254.9,265.9,254.9,254.9,263.00,261.9,261.82,309.4,200.0,"4,35,186","11,39,41,367.15","10,770",INDUSINDBK
25-Nov-2011,IL,260.0,260.5,260.0,267.8,-,260.5,260.35,294.0,218.0,"1,70,836","4,44,77,778.00",2,INDUSINDBK
25-Nov-2011,EQ,253.0,258.35,251.55,254.65,253.30,254.9,254.39,309.4,200.0,"2,77,545","7,06,04,754.60","4,998",INDUSINDBK
24-Nov-2011,EQ,248.5,268.0,244.3,248.45,262.90,254.65,250.75,309.4,200.0,"12,46,502","31,25,61,451.70","10,640",INDUSINDBK
23-Nov-2011,EQ,249.95,250.8,240.55,251.8,248.00,248.45,248.25,309.4,200.0,"8,04,573","19,97,35,244.25","5,242",INDUSINDBK
22-Nov-2011,EQ,252.7,255.0,249.55,253.3,250.40,251.8,252.75,309.4,200.0,"7,74,969","19,58,69,867.40","7,608",INDUSINDBK
21-Nov-2011,EQ,257.7,257.7,251.25,257.7,253.00,253.3,254.06,309.4,200.0,"2,44,109","6,20,18,534.05","4,426",INDUSINDBK
18-Nov-2011,EQ,248.85,261.0,246.35,251.8,259.00,257.7,251.84,309.4,200.0,"7,86,510","19,80,72,904.40","8,169",INDUSINDBK
17-Nov-2011,EQ,252.3,258.4,248.55,252.2,249.00,251.8,254.61,309.4,200.0,"5,26,072","13,39,43,054.65","6,263",INDUSINDBK
17-Nov-2011,IL,267.8,267.8,267.8,276.0,-,267.8,267.8,294.0,218.0,"20,00,000","53,56,00,000.00",1,INDUSINDBK
16-Nov-2011,EQ,253.65,257.9,245.3,253.2,257.85,252.2,249.07,309.4,200.0,"5,72,764","14,26,56,328.05","7,314",INDUSINDBK
15-Nov-2011,EQ,258.0,263.7,250.25,261.55,253.70,253.2,259.75,309.4,200.0,"3,79,035","9,84,52,869.05","7,890",INDUSINDBK
14-Nov-2011,EQ,267.0,271.85,260.0,268.8,260.50,261.55,264.27,309.4,200.0,"5,18,974","13,71,51,422.40","6,643",INDUSINDBK
14-Nov-2011,IL,275.6,276.0,275.0,276.0,-,276.0,275.36,294.0,218.0,"4,00,184","11,01,94,784.00",3,INDUSINDBK
11-Nov-2011,EQ,270.0,275.0,261.6,270.0,268.00,268.8,267.83,309.4,200.0,"3,22,905","8,64,84,265.40","4,954",INDUSINDBK
09-Nov-2011,EQ,277.95,277.95,265.65,276.25,270.20,270.0,270.13,309.4,200.0,"5,14,728","13,90,42,025.70","6,001",INDUSINDBK
08-Nov-2011,EQ,278.5,279.9,270.55,276.2,276.70,276.25,274.45,309.4,200.0,"2,35,520","6,46,39,031.10","4,499",INDUSINDBK
04-Nov-2011,EQ,278.7,280.9,275.2,277.3,276.50,276.2,278.1,309.4,200.0,"2,81,753","7,83,55,931.20","6,090",INDUSINDBK
03-Nov-2011,EQ,279.9,280.1,275.55,279.95,276.00,277.3,277.76,309.4,200.0,"2,21,307","6,14,71,184.85","4,104",INDUSINDBK
02-Nov-2011,EQ,276.7,281.5,274.35,279.5,279.20,279.95,277.86,309.4,200.0,"2,46,067","6,83,72,404.75","4,882",INDUSINDBK
01-Nov-2011,EQ,283.0,287.9,275.3,286.7,278.60,279.5,282.27,309.4,200.0,"7,37,970","20,83,08,510.45","8,538",INDUSINDBK
31-Oct-2011,EQ,282.0,288.0,274.1,281.9,287.45,286.7,282.93,309.4,200.0,"5,14,207","14,54,86,342.15","7,382",INDUSINDBK
28-Oct-2011,EQ,273.0,284.95,273.0,277.1,282.00,281.9,281.7,309.4,200.0,"4,07,582","11,48,15,206.95","5,703",INDUSINDBK
26-Oct-2011,EQ,275.0,280.35,275.0,273.45,276.50,277.1,278.14,309.4,200.0,"2,18,531","6,07,81,909.25","3,078",INDUSINDBK
25-Oct-2011,EQ,274.1,277.0,272.25,273.05,273.50,273.45,274.77,309.4,200.0,"15,35,411","42,18,83,251.70","11,270",INDUSINDBK
24-Oct-2011,EQ,276.1,278.5,271.0,273.45,274.00,273.05,275.31,309.4,200.0,"3,62,387","9,97,67,072.20","6,429",INDUSINDBK
21-Oct-2011,EQ,269.2,275.75,269.0,269.95,274.05,273.45,273.72,309.4,200.0,"6,51,568","17,83,49,025.25","9,642",INDUSINDBK
20-Oct-2011,EQ,266.6,272.5,266.0,270.8,269.50,269.95,268.26,309.4,200.0,"4,23,779","11,36,81,866.20","5,766",INDUSINDBK
19-Oct-2011,EQ,271.4,273.0,268.2,267.35,269.90,270.8,271.05,309.4,200.0,"5,12,841","13,90,03,288.25","6,247",INDUSINDBK
18-Oct-2011,EQ,269.8,272.7,263.75,269.8,265.75,267.35,268.29,309.4,200.0,"14,77,866","39,64,99,731.85","21,450",INDUSINDBK
17-Oct-2011,EQ,264.8,270.9,264.8,264.0,270.60,269.8,267.53,309.4,200.0,"13,21,097","35,34,34,943.70","5,881",INDUSINDBK
14-Oct-2011,EQ,265.1,266.0,259.5,267.5,264.50,264.0,262.06,309.4,200.0,"3,23,656","8,48,16,373.65","5,883",INDUSINDBK
13-Oct-2011,EQ,263.9,275.0,258.0,258.05,263.55,267.5,263.3,309.4,200.0,"4,74,111","12,48,31,729.30","7,926",INDUSINDBK
12-Oct-2011,EQ,255.0,260.0,250.6,253.6,258.00,258.05,256.71,309.4,200.0,"2,67,556","6,86,83,772.35","5,867",INDUSINDBK
11-Oct-2011,EQ,254.0,257.65,251.5,251.85,253.50,253.6,255.43,309.4,200.0,"5,35,423","13,67,65,522.90","5,817",INDUSINDBK
10-Oct-2011,EQ,244.75,252.9,241.0,243.35,251.50,251.85,248.12,309.4,200.0,"3,96,475","9,83,71,558.70","8,996",INDUSINDBK
07-Oct-2011,EQ,247.9,259.9,235.95,239.7,245.00,243.35,248.72,309.4,200.0,"24,07,560","59,87,98,386.45","20,626",INDUSINDBK
05-Oct-2011,EQ,248.0,249.7,235.5,246.15,240.50,239.7,239.67,309.4,200.0,"5,19,410","12,44,88,255.55","8,245",INDUSINDBK
04-Oct-2011,EQ,250.4,257.5,245.0,255.1,245.05,246.15,250.48,309.4,200.0,"7,31,109","18,31,28,944.40","9,479",INDUSINDBK
03-Oct-2011,EQ,259.9,262.0,252.3,262.25,252.65,255.1,257.83,309.4,200.0,"3,35,309","8,64,52,223.70","4,486",INDUSINDBK
30-Sep-2011,EQ,270.0,271.35,260.1,269.25,260.15,262.25,266.33,309.4,200.0,"2,11,206","5,62,51,470.15","3,683",INDUSINDBK
30-Sep-2011,IL,276.0,276.0,276.0,266.0,-,276.0,276.0,294.0,218.0,"1,75,000","4,83,00,000.00",1,INDUSINDBK
29-Sep-2011,EQ,263.6,272.3,259.25,264.1,271.00,269.25,264.53,309.4,200.0,"9,16,261","24,23,82,912.10","6,597",INDUSINDBK
28-Sep-2011,EQ,267.0,268.9,262.4,264.6,264.50,264.1,265.34,309.4,200.0,"2,37,946","6,31,37,428.80","4,740",INDUSINDBK
27-Sep-2011,EQ,258.0,266.9,257.95,255.8,266.05,264.6,263.4,309.4,200.0,"2,24,408","5,91,08,700.35","4,020",INDUSINDBK
26-Sep-2011,EQ,255.15,259.3,246.65,254.0,254.65,255.8,252.32,309.4,200.0,"2,41,766","6,10,02,369.25","5,069",INDUSINDBK
23-Sep-2011,EQ,260.0,264.9,246.8,257.75,253.55,254.0,253.43,309.4,200.0,"5,11,673","12,96,71,866.35","7,455",INDUSINDBK
22-Sep-2011,EQ,267.0,267.0,256.55,269.45,257.10,257.75,260.57,309.4,200.0,"3,86,992","10,08,36,942.35","5,923",INDUSINDBK
21-Sep-2011,EQ,273.8,275.85,268.25,272.35,269.10,269.45,271.62,309.4,200.0,"4,89,620","13,29,89,293.70","5,954",INDUSINDBK
20-Sep-2011,EQ,269.85,274.4,269.2,268.2,272.75,272.35,271.53,309.4,200.0,"5,46,350","14,83,49,249.25","5,825",INDUSINDBK
