"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2014","EQ","310.05","312.95","310.00","309.75","312.75","311.85","311.43","2,979.00","287.00","63,05,857","1,96,38,50,235.80","55,077"
"30-Dec-2014","EQ","308.20","310.75","306.00","307.55","310.65","309.75","308.42","2,979.00","287.00","81,13,742","2,50,24,26,347.80","69,322"
"29-Dec-2014","EQ","309.50","310.20","307.00","307.65","307.10","307.55","308.17","2,979.00","287.00","76,99,059","2,37,26,14,151.10","78,041"
"26-Dec-2014","EQ","306.85","309.80","306.05","305.75","307.95","307.65","307.84","2,979.00","287.00","73,73,519","2,26,98,81,658.35","67,785"
"24-Dec-2014","EQ","306.00","309.95","305.00","307.20","306.05","305.75","306.69","2,979.00","287.00","1,48,66,629","4,55,94,40,056.70","98,442"
"23-Dec-2014","EQ","307.60","312.50","306.25","307.70","306.50","307.20","309.38","2,979.00","287.00","1,28,36,868","3,97,14,15,468.60","1,19,061"
"22-Dec-2014","EQ","306.30","308.65","303.35","304.15","308.40","307.70","306.16","2,979.00","287.00","1,15,65,161","3,54,08,39,921.05","1,06,653"
"19-Dec-2014","EQ","311.55","312.00","303.50","307.10","304.15","304.15","307.23","2,979.00","287.00","1,41,30,478","4,34,13,51,271.00","1,28,865"
"18-Dec-2014","EQ","310.80","312.60","304.50","301.75","307.00","307.10","308.43","2,979.00","287.00","1,89,21,827","5,83,60,47,624.30","1,75,235"
"17-Dec-2014","EQ","294.40","306.40","287.00","295.60","302.85","301.75","297.83","2,979.00","287.00","2,82,90,440","8,42,58,05,452.30","2,73,555"
"16-Dec-2014","EQ","308.10","311.00","293.00","310.55","294.90","295.60","301.10","2,979.00","291.25","2,09,51,938","6,30,86,92,013.75","2,11,851"
"15-Dec-2014","EQ","308.30","316.00","307.55","311.35","309.60","310.55","312.25","2,979.00","291.25","1,51,17,938","4,72,05,58,508.35","1,50,237"
"12-Dec-2014","EQ","313.65","316.90","309.00","314.05","312.05","311.35","312.84","2,979.00","291.25","1,17,27,933","3,66,90,10,989.55","1,08,669"
"11-Dec-2014","EQ","313.60","318.55","310.45","315.95","313.80","314.05","314.33","2,979.00","291.25","1,31,51,866","4,13,39,86,898.05","1,18,987"
"10-Dec-2014","EQ","303.50","317.20","303.30","306.55","316.80","315.95","311.73","2,979.00","291.25","1,53,81,613","4,79,49,28,221.45","1,52,998"
"09-Dec-2014","EQ","312.70","314.40","305.50","312.90","306.40","306.55","308.97","2,979.00","291.25","1,49,26,558","4,61,18,59,077.05","1,26,498"
"08-Dec-2014","EQ","318.60","318.60","312.30","317.55","313.00","312.90","314.52","2,979.00","291.25","98,14,223","3,08,67,88,323.35","1,15,724"
"05-Dec-2014","EQ","320.00","321.30","316.00","320.30","316.50","317.55","318.83","2,979.00","291.25","1,13,91,988","3,63,20,78,757.15","91,179"
"04-Dec-2014","EQ","319.85","321.00","314.05","317.95","319.90","320.30","318.15","2,979.00","291.25","1,38,09,486","4,39,34,47,175.95","1,12,216"
"03-Dec-2014","EQ","319.65","322.90","316.35","318.70","318.05","317.95","319.79","2,979.00","291.25","1,36,99,078","4,38,08,65,715.85","1,34,276"
"02-Dec-2014","EQ","318.90","322.80","311.55","319.60","318.45","318.70","318.05","2,979.00","291.25","2,37,76,383","7,56,21,33,219.05","1,93,394"
"01-Dec-2014","EQ","322.80","326.95","317.60","321.40","319.50","319.60","321.54","2,979.00","291.25","1,84,49,916","5,93,23,33,605.35","1,67,654"
"28-Nov-2014","EQ","308.40","322.50","308.00","305.85","322.30","321.40","318.60","2,979.00","291.25","2,77,60,604","8,84,46,50,733.85","1,99,440"
"27-Nov-2014","EQ","307.00","308.50","303.85","306.25","306.40","305.85","305.84","2,979.00","291.25","1,53,78,080","4,70,31,68,145.40","93,793"
"26-Nov-2014","EQ","304.90","308.75","303.60","304.45","306.70","306.25","306.38","2,979.00","291.25","1,11,31,807","3,41,05,48,519.55","94,644"
"25-Nov-2014","EQ","309.90","309.95","301.00","308.85","305.30","304.45","305.26","2,979.00","291.25","2,67,76,620","8,17,39,56,072.55","2,24,296"
"24-Nov-2014","EQ","307.80","309.85","306.05","305.50","308.00","308.85","308.18","2,979.00","291.25","1,86,31,463","5,74,18,98,668.90","1,83,826"
"21-Nov-2014","EQ","299.90","307.00","297.25","297.10","305.50","305.50","303.92","2,979.00","291.25","2,10,09,207","6,38,51,77,996.00","1,91,411"
