"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2012","EQ","416.70","421.00","415.05","415.00","417.90","417.05","417.69","435.90","222.25","7,59,367","31,71,80,489.55","9,522"
"28-Dec-2012","EQ","415.00","420.30","413.05","414.20","416.05","415.00","417.96","435.90","222.25","19,38,513","81,02,21,758.60","12,076"
"27-Dec-2012","EQ","423.90","424.65","412.45","421.00","414.75","414.20","417.29","435.90","222.25","15,79,171","65,89,70,831.60","28,746"
"26-Dec-2012","EQ","424.00","427.00","420.20","424.90","421.50","421.00","423.27","435.90","222.25","10,89,995","46,13,57,502.15","6,544"
"24-Dec-2012","EQ","427.20","432.00","418.10","427.20","422.90","424.90","423.61","435.90","222.25","34,46,375","1,45,99,14,300.30","7,831"
"24-Dec-2012","BL","427.00","427.00","427.00","405.00","427.00","427.00","427.00","427.00","405.00","21,96,168","93,77,63,736.00","1"
"21-Dec-2012","EQ","432.00","432.90","422.10","432.70","429.45","427.20","426.68","435.90","222.15","13,82,400","58,98,45,724.65","12,194"
"20-Dec-2012","EQ","434.10","434.25","427.60","433.75","430.55","432.70","432.49","435.90","222.15","12,84,392","55,54,82,716.55","9,392"
"19-Dec-2012","EQ","433.90","435.90","429.45","429.60","431.65","433.75","433.55","435.90","222.15","5,60,130","24,28,45,272.75","10,221"
"18-Dec-2012","EQ","427.30","433.75","417.30","425.70","430.50","429.60","427.57","433.75","222.15","6,77,877","28,98,41,305.10","17,102"
"17-Dec-2012","EQ","420.55","430.80","418.75","422.00","424.80","425.70","427.04","430.80","222.15","14,24,986","60,85,22,726.35","32,145"
"14-Dec-2012","EQ","405.10","423.00","405.00","409.65","423.00","422.00","417.79","429.00","222.15","12,44,230","51,98,30,478.15","24,992"
"13-Dec-2012","BL","405.00","405.00","405.00","415.50","405.00","405.00","405.00","415.50","265.00","19,00,000","76,95,00,000.00","1"
"13-Dec-2012","EQ","409.90","418.45","403.45","405.05","409.80","409.65","412.36","429.00","222.15","16,22,143","66,89,00,145.80","35,926"
"12-Dec-2012","EQ","413.35","413.80","403.00","412.05","403.90","405.05","407.78","429.00","222.15","14,53,902","59,28,78,557.50","22,537"
"11-Dec-2012","EQ","417.00","421.15","407.85","417.60","412.00","412.05","412.77","429.00","222.15","9,61,794","39,70,04,429.80","16,496"
"10-Dec-2012","EQ","415.65","420.80","408.50","411.45","416.65","417.60","415.31","429.00","222.15","22,98,339","95,45,34,317.30","27,730"
"10-Dec-2012","BL","415.50","415.50","415.50","265.00","415.50","415.50","415.50","415.50","265.00","28,60,000","1,18,83,30,000.00","2"
"07-Dec-2012","EQ","425.00","429.00","408.95","426.25","411.60","411.45","418.18","429.00","222.15","21,06,447","88,08,73,217.65","39,225"
"06-Dec-2012","EQ","422.90","428.80","416.95","420.35","427.95","426.25","421.55","428.80","222.15","6,82,715","28,78,01,150.60","18,173"
"05-Dec-2012","EQ","419.35","422.40","416.40","417.70","418.00","420.35","419.89","426.00","222.15","6,62,020","27,79,76,682.20","23,393"
"04-Dec-2012","EQ","422.75","426.00","416.00","422.10","417.00","417.70","420.50","426.00","222.15","6,81,247","28,64,62,868.50","23,171"
"03-Dec-2012","EQ","406.10","423.95","406.10","416.75","422.80","422.10","420.30","423.95","222.15","8,09,819","34,03,66,852.95","17,285"
"30-Nov-2012","EQ","416.95","418.80","409.50","416.95","416.50","416.75","415.57","419.50","222.15","33,64,241","1,39,80,68,918.10","33,311"
"29-Nov-2012","EQ","393.95","419.50","393.00","394.10","413.10","416.95","410.72","419.50","222.15","25,40,800","1,04,35,60,758.55","38,164"
"27-Nov-2012","EQ","385.65","399.50","385.65","384.35","392.85","394.10","395.20","399.50","222.15","17,32,436","68,46,54,374.90","26,585"
"26-Nov-2012","EQ","377.00","386.45","377.00","374.10","385.00","384.35","383.78","390.00","222.15","7,60,821","29,19,89,179.10","14,275"
"23-Nov-2012","EQ","374.85","377.85","371.45","373.10","373.75","374.10","374.76","390.00","222.15","9,74,122","36,50,65,885.30","10,275"
"22-Nov-2012","EQ","368.50","374.95","367.80","368.05","374.50","373.10","371.13","390.00","222.15","3,05,533","11,33,92,211.95","4,251"
"21-Nov-2012","EQ","370.00","371.95","366.90","368.70","367.50","368.05","368.79","390.00","222.15","7,52,380","27,74,67,264.20","12,308"
"20-Nov-2012","EQ","389.00","390.00","366.20","373.35","368.00","368.70","372.31","390.00","222.15","17,23,286","64,16,04,949.85","6,070"
"19-Nov-2012","EQ","378.85","381.10","369.15","377.90","374.00","373.35","373.76","387.00","222.15","4,21,504","15,75,42,146.75","6,205"
"16-Nov-2012","EQ","377.85","387.00","373.55","377.50","377.00","377.90","382.35","387.00","222.15","6,38,316","24,40,63,060.30","8,476"
"15-Nov-2012","EQ","373.55","379.45","372.55","376.15","377.90","377.50","376.18","379.45","222.15","2,79,064","10,49,79,145.15","4,237"
"13-Nov-2012","EQ","376.00","378.25","375.00","376.80","375.80","376.15","376.77","379.20","222.15","1,09,351","4,12,00,240.95","1,693"
"12-Nov-2012","EQ","368.95","379.20","365.40","368.00","377.00","376.80","374.64","379.20","222.15","10,43,728","39,10,18,918.00","17,137"
"09-Nov-2012","EQ","363.00","368.80","361.25","362.80","367.00","368.00","367.45","376.00","222.15","14,91,780","54,81,58,810.35","3,822"
"08-Nov-2012","EQ","362.90","367.00","362.00","367.20","363.85","362.80","363.80","376.00","222.15","2,41,115","8,77,16,767.30","4,464"
"08-Nov-2012","IL","376.25","376.25","376.25","382.00","-","376.25","376.25","382.00","246.00","2,06,372","7,76,47,465.00","1"
"07-Nov-2012","EQ","364.50","370.85","362.60","363.05","366.45","367.20","367.85","376.00","222.15","6,07,541","22,34,82,916.15","5,917"
"06-Nov-2012","EQ","362.95","365.00","361.05","362.90","364.85","363.05","362.62","376.00","222.15","1,46,551","5,31,41,849.75","3,410"
"05-Nov-2012","EQ","366.40","368.80","361.50","365.85","363.50","362.90","364.48","376.00","222.15","1,52,013","5,54,05,098.35","2,210"
"02-Nov-2012","EQ","365.55","369.75","365.00","363.90","365.75","365.85","367.49","376.00","222.15","2,96,883","10,91,00,112.10","4,158"
"01-Nov-2012","EQ","363.80","368.00","362.05","364.10","364.50","363.90","365.03","376.00","222.15","1,87,609","6,84,83,363.45","2,395"
"31-Oct-2012","EQ","360.65","365.00","358.30","361.70","362.90","364.10","362.66","376.00","222.15","1,86,100","6,74,91,035.10","3,291"
"30-Oct-2012","EQ","362.95","370.00","356.00","365.60","360.45","361.70","362.50","376.00","222.15","3,73,732","13,54,76,196.90","5,681"
"29-Oct-2012","EQ","365.45","367.15","362.70","362.60","366.90","365.60","364.97","376.00","222.15","2,36,919","8,64,67,686.05","3,526"
"26-Oct-2012","IL","382.00","382.00","382.00","375.50","-","382.00","382.00","382.00","246.00","1,50,000","5,73,00,000.00","2"
"26-Oct-2012","EQ","366.10","371.35","362.20","365.45","363.05","362.60","367.04","376.00","222.15","3,46,796","12,72,89,069.90","5,110"
"25-Oct-2012","EQ","361.05","367.50","360.10","362.70","367.50","365.45","364.20","376.00","222.15","2,91,024","10,59,89,699.55","3,645"
"25-Oct-2012","IL","375.50","375.50","375.50","369.00","-","375.50","375.50","375.50","246.00","10,44,740","39,22,99,870.00","4"
"23-Oct-2012","EQ","358.00","364.80","357.60","361.85","360.75","362.70","362.50","376.00","222.15","2,34,010","8,48,28,125.50","2,936"
"22-Oct-2012","EQ","356.80","363.45","352.50","362.55","363.00","361.85","360.73","376.00","222.15","2,62,330","9,46,29,659.70","4,101"
"22-Oct-2012","IL","369.00","369.00","369.00","368.00","-","369.00","369.00","369.00","246.00","47,937","1,76,88,753.00","1"
"19-Oct-2012","EQ","363.65","364.00","360.10","364.25","362.00","362.55","362.48","376.00","222.15","2,64,643","9,59,27,398.85","3,594"
"18-Oct-2012","EQ","361.45","365.00","356.05","358.20","363.75","364.25","362.48","376.00","222.15","5,78,609","20,97,33,260.35","5,780"
"17-Oct-2012","EQ","355.35","358.85","354.10","354.30","358.00","358.20","356.36","376.00","222.15","2,71,780","9,68,51,408.80","4,019"
"17-Oct-2012","IL","367.00","368.00","367.00","363.00","-","368.00","367.20","368.00","246.00","1,25,000","4,59,00,000.00","3"
"16-Oct-2012","EQ","363.50","363.50","352.75","361.65","354.00","354.30","360.07","376.00","222.15","4,31,947","15,55,29,133.00","4,716"
"15-Oct-2012","EQ","366.05","368.50","359.40","365.70","361.40","361.65","361.82","376.00","222.15","4,56,739","16,52,59,172.00","6,269"
"12-Oct-2012","EQ","365.55","371.90","364.10","363.00","365.20","365.70","368.16","376.00","222.15","7,34,639","27,04,66,561.45","12,619"
"11-Oct-2012","EQ","357.65","365.80","357.65","357.70","363.90","363.00","362.34","376.00","222.15","10,09,289","36,57,03,312.40","15,064"
"10-Oct-2012","EQ","370.00","370.00","355.10","365.75","356.60","357.70","359.26","376.00","222.15","24,07,178","86,48,00,694.50","31,714"
"09-Oct-2012","EQ","368.85","374.80","364.20","368.85","365.65","365.75","367.89","376.00","222.15","5,19,176","19,10,00,616.75","11,234"
"08-Oct-2012","EQ","368.20","370.85","364.85","369.25","369.00","368.85","369.01","376.00","222.15","4,65,196","17,16,60,456.45","6,846"
"05-Oct-2012","EQ","371.10","374.70","361.50","371.10","369.00","369.25","368.52","376.00","222.15","5,29,836","19,52,56,195.55","5,512"
"04-Oct-2012","EQ","372.00","376.00","369.85","369.50","370.50","371.10","371.85","376.00","222.15","3,11,655","11,58,89,640.15","4,356"
"03-Oct-2012","EQ","364.10","370.50","364.10","363.00","369.10","369.50","368.38","370.50","222.15","6,74,917","24,86,24,428.05","16,536"
"01-Oct-2012","EQ","358.85","365.00","355.00","355.30","364.20","363.00","359.99","370.00","222.15","5,93,267","21,35,70,216.15","8,137"
"01-Oct-2012","IL","360.00","363.00","360.00","340.00","-","363.00","362.74","363.00","246.00","70,454","2,55,56,433.00","2"
"28-Sep-2012","EQ","344.20","357.00","344.15","343.30","356.00","355.30","351.86","370.00","222.15","9,69,469","34,11,17,325.70","12,900"
"27-Sep-2012","EQ","344.10","346.50","340.35","343.55","346.50","343.30","342.85","370.00","222.15","2,89,429","9,92,30,233.50","3,768"
"26-Sep-2012","EQ","343.40","348.20","341.50","344.70","342.30","343.55","344.83","370.00","222.15","2,48,445","8,56,72,169.00","3,712"
"25-Sep-2012","EQ","347.75","350.00","343.40","345.25","346.00","344.70","345.76","370.00","222.15","5,30,730","18,35,07,235.65","4,700"
"24-Sep-2012","EQ","335.55","346.00","335.55","337.85","346.00","345.25","343.63","370.00","222.15","9,54,686","32,80,54,999.40","13,455"
"21-Sep-2012","EQ","337.00","339.75","332.70","331.30","339.40","337.85","336.19","370.00","222.15","14,34,284","48,21,87,656.90","11,882"
"20-Sep-2012","EQ","329.50","333.90","326.30","332.55","330.25","331.30","331.70","370.00","222.15","3,74,580","12,42,48,445.30","4,868"
"18-Sep-2012","EQ","330.70","335.80","328.30","330.25","332.85","332.55","332.48","370.00","222.15","5,08,258","16,89,87,457.00","9,748"
"17-Sep-2012","EQ","325.80","352.00","320.35","318.75","332.95","330.25","327.08","370.00","222.15","7,92,250","25,91,32,228.50","10,171"
"14-Sep-2012","EQ","315.00","320.20","313.00","310.15","318.70","318.75","318.30","370.00","222.15","16,89,775","53,78,50,715.20","10,212"
"13-Sep-2012","EQ","311.45","315.50","308.50","311.45","309.00","310.15","311.96","370.00","222.15","4,82,571","15,05,42,190.50","7,961"
"12-Sep-2012","EQ","313.00","313.50","308.10","310.30","310.00","311.45","311.44","370.00","222.15","2,85,118","8,87,95,843.05","4,193"
"11-Sep-2012","EQ","311.95","312.00","309.00","313.30","310.75","310.30","310.93","370.00","222.15","5,41,666","16,84,20,163.55","2,758"
"10-Sep-2012","EQ","317.85","319.25","312.00","316.90","312.70","313.30","316.50","370.00","222.15","2,31,908","7,33,98,527.45","2,544"
"08-Sep-2012","EQ","318.05","318.50","315.95","316.40","317.20","316.90","316.96","370.00","222.15","22,387","70,95,871.15","404"
"07-Sep-2012","EQ","314.55","318.50","313.00","312.55","317.00","316.40","316.67","370.00","222.15","9,37,939","29,70,20,658.60","6,093"
"06-Sep-2012","EQ","313.50","315.00","310.90","312.50","311.60","312.55","312.73","370.00","222.15","7,78,289","24,33,93,802.45","1,881"
"05-Sep-2012","EQ","314.45","316.40","310.95","315.70","312.50","312.50","312.94","370.00","222.15","2,84,456","8,90,17,102.15","2,696"
"04-Sep-2012","EQ","315.00","317.30","312.80","314.95","314.75","315.70","315.11","370.00","222.15","1,56,832","4,94,19,054.70","2,169"
"03-Sep-2012","EQ","317.45","321.00","313.55","316.55","316.00","314.95","317.22","370.00","222.15","1,26,555","4,01,45,623.10","2,668"
"31-Aug-2012","EQ","314.05","319.50","312.85","314.00","318.00","316.55","315.66","370.00","222.15","2,35,817","7,44,38,926.00","3,062"
"30-Aug-2012","EQ","315.00","317.00","310.80","315.00","316.50","314.00","313.12","370.00","222.15","4,44,732","13,92,54,144.75","7,434"
