"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"08-Dec-2022","EQ","915.65","943.95","913.75","914.65","940.00","939.35","932.85","943.95","618.25","1,74,66,047","16,29,32,23,045.65","2,42,649"
"07-Dec-2022","EQ","902.80","918.00","899.85","904.65","913.00","914.65","910.47","919.95","618.25","91,03,656","8,28,86,09,561.25","1,73,940"
"06-Dec-2022","EQ","897.50","906.90","895.70","899.20","906.40","904.65","901.11","919.95","618.25","53,51,099","4,82,19,13,125.55","1,19,444"
"05-Dec-2022","EQ","907.00","907.30","897.60","905.15","898.85","899.20","900.55","919.95","618.25","50,98,164","4,59,11,71,172.40","1,19,932"
"02-Dec-2022","EQ","898.30","907.00","891.40","903.85","905.05","905.15","898.37","919.95","618.25","79,88,851","7,17,69,62,931.90","1,69,729"
"01-Dec-2022","EQ","909.50","909.50","899.50","901.25","901.00","903.85","904.78","919.95","618.25","70,53,100","6,38,14,76,881.75","1,70,682"
"30-Nov-2022","EQ","895.00","905.10","885.45","892.55","899.50","901.25","896.60","919.95","618.25","1,04,52,798","9,37,19,82,104.85","1,61,887"
"29-Nov-2022","EQ","894.40","901.90","890.00","891.70","891.40","892.55","896.46","919.95","618.25","56,61,158","5,07,50,19,756.85","1,17,998"
"28-Nov-2022","EQ","887.70","899.50","885.30","887.75","892.90","891.70","893.59","919.95","618.25","79,28,147","7,08,44,90,499.80","1,71,525"
"25-Nov-2022","EQ","883.00","891.80","880.90","878.55","887.00","887.75","886.70","919.95","618.25","76,14,047","6,75,13,68,785.05","1,27,897"
"24-Nov-2022","EQ","878.00","880.80","873.10","874.70","880.60","878.55","877.67","919.95","618.25","49,28,778","4,32,58,27,928.75","1,09,108"
"23-Nov-2022","EQ","873.90","877.80","868.75","870.05","874.75","874.70","874.36","919.95","618.25","58,61,417","5,12,49,89,495.30","1,56,870"
"22-Nov-2022","EQ","874.95","877.00","868.35","870.05","869.80","870.05","872.23","919.95","618.25","55,35,233","4,82,80,19,794.45","1,20,586"
"21-Nov-2022","EQ","860.00","870.95","859.00","859.20","869.30","870.05","866.20","919.95","618.25","72,09,207","6,24,46,24,208.70","1,30,334"
"18-Nov-2022","EQ","859.30","865.80","855.00","858.20","859.50","859.20","860.72","919.95","618.25","70,65,304","6,08,12,38,666.35","1,27,390"
"17-Nov-2022","EQ","855.40","861.40","852.70","855.40","858.00","858.20","858.13","919.95","618.25","49,09,607","4,21,30,61,950.65","1,02,263"
"16-Nov-2022","EQ","858.00","861.60","850.60","858.65","854.30","855.40","855.74","919.95","618.25","65,21,854","5,58,10,37,417.20","1,09,700"
"15-Nov-2022","EQ","851.25","859.85","847.20","851.00","859.15","858.65","852.87","919.95","618.25","71,24,767","6,07,65,08,603.65","1,21,518"
"14-Nov-2022","BL","850.70","850.70","850.70","863.55","850.70","850.70","850.70","909.45","728.50","32,58,538","2,77,20,38,276.60","1"
"14-Nov-2022","EQ","850.50","853.90","847.35","850.70","851.50","851.00","850.23","919.95","618.25","69,85,306","5,93,90,86,496.15","1,17,777"
"11-Nov-2022","EQ","847.00","854.70","844.15","843.70","851.95","850.70","850.08","919.95","618.25","1,93,29,819","16,43,19,00,484.45","2,26,709"
"10-Nov-2022","EQ","843.70","856.70","841.00","873.70","841.40","843.70","847.36","919.95","618.25","1,89,56,575","16,06,30,67,255.10","2,48,456"
"09-Nov-2022","EQ","875.05","880.75","868.50","872.95","870.70","873.70","874.95","919.95","618.25","1,01,90,209","8,91,58,81,667.55","2,13,692"
"07-Nov-2022","EQ","876.25","876.80","861.30","868.10","872.10","872.95","869.22","919.95","618.25","99,31,261","8,63,24,81,814.10","2,05,758"
"04-Nov-2022","EQ","869.00","872.90","862.30","864.05","868.20","868.10","866.91","919.95","618.25","73,23,879","6,34,91,63,479.00","1,37,308"
"03-Nov-2022","BL","863.55","863.55","863.55","909.45","863.55","863.55","863.55","909.45","728.50","32,58,538","2,81,39,10,489.90","1"
"03-Nov-2022","EQ","857.90","880.40","856.00","863.55","864.95","864.05","869.29","919.95","618.25","1,01,85,978","8,85,45,19,785.10","1,78,129"
"02-Nov-2022","EQ","875.00","877.00","861.60","871.75","863.05","863.55","866.58","919.95","618.25","1,10,29,140","9,55,76,33,798.60","1,56,484"
"01-Nov-2022","EQ","904.00","904.00","869.00","906.00","871.50","871.75","883.01","919.95","618.25","2,91,91,921","25,77,68,09,633.75","3,10,121"
"31-Oct-2022","EQ","908.00","918.00","902.10","903.05","906.00","906.00","908.83","919.95","618.25","90,38,777","8,21,46,67,268.45","2,16,347"
"28-Oct-2022","EQ","915.00","917.95","898.90","915.15","904.50","903.05","906.52","919.95","618.25","73,20,207","6,63,58,97,716.10","1,90,469"
"27-Oct-2022","EQ","909.00","919.95","901.25","902.85","916.00","915.15","912.16","919.95","618.25","1,19,67,044","10,91,58,90,898.80","3,98,131"
"25-Oct-2022","BL","909.45","909.45","909.45","800.50","909.45","909.45","909.45","909.45","728.50","17,53,098","1,59,43,54,976.10","1"
"25-Oct-2022","EQ","905.70","910.60","891.60","909.45","900.95","902.85","900.03","918.45","618.25","1,31,87,308","11,86,90,14,497.25","2,50,162"
"24-Oct-2022","EQ","916.00","918.45","905.00","900.40","906.95","909.45","911.02","918.45","618.25","30,85,307","2,81,07,64,121.40","60,927"
"21-Oct-2022","EQ","860.10","906.00","855.85","825.85","904.00","900.40","882.30","906.00","618.25","5,80,57,724","51,22,43,82,764.35","6,81,610"
"20-Oct-2022","EQ","824.90","831.90","816.95","829.85","824.20","825.85","823.01","866.90","618.25","1,18,13,817","9,72,28,59,848.80","1,65,849"
"19-Oct-2022","EQ","818.45","838.45","816.90","816.35","831.15","829.85","830.08","866.90","618.25","1,08,68,663","9,02,18,21,939.05","2,28,987"
"18-Oct-2022","EQ","820.00","822.90","811.55","814.15","815.95","816.35","816.92","866.90","618.25","84,70,882","6,92,00,25,326.95","1,70,343"
"17-Oct-2022","BL","800.50","800.50","800.50","733.20","800.50","800.50","800.50","800.50","728.50","27,54,971","2,20,53,54,285.50","1"
"17-Oct-2022","EQ","803.50","817.00","797.10","800.50","816.50","814.15","807.49","866.90","618.25","94,63,827","7,64,19,58,703.60","1,75,925"
"14-Oct-2022","EQ","815.55","820.70","794.45","802.00","800.95","800.50","807.11","866.90","618.25","82,20,645","6,63,49,41,576.05","1,67,604"
"13-Oct-2022","EQ","807.00","814.95","795.60","808.70","805.00","802.00","803.45","866.90","618.25","1,30,24,911","10,46,49,02,283.00","2,50,427"
"12-Oct-2022","EQ","789.50","810.80","783.45","785.55","807.80","808.70","801.12","866.90","618.25","2,12,28,018","17,00,60,88,312.90","2,95,605"
"11-Oct-2022","EQ","780.00","795.50","774.50","776.85","785.00","785.55","787.89","866.90","618.25","1,59,53,495","12,56,95,51,720.10","2,57,378"
"10-Oct-2022","EQ","748.00","778.70","745.00","755.70","778.70","776.85","765.57","866.90","618.25","1,41,06,654","10,79,96,41,474.35","2,01,360"
"07-Oct-2022","EQ","753.80","757.50","742.30","755.10","756.95","755.70","750.33","866.90","618.25","75,00,540","5,62,78,58,712.60","1,36,248"
"06-Oct-2022","EQ","750.00","760.40","746.00","742.80","753.10","755.10","754.98","866.90","618.25","93,76,433","7,07,90,00,222.85","2,31,061"
"04-Oct-2022","EQ","733.40","744.50","732.00","722.75","742.00","742.80","740.99","866.90","618.25","54,38,934","4,03,02,18,328.55","1,91,004"
"03-Oct-2022","BL","733.20","733.20","733.20","728.50","733.20","733.20","733.20","768.15","728.50","26,95,541","1,97,63,70,661.20","1"
"03-Oct-2022","EQ","731.00","742.00","721.05","733.20","722.50","722.75","730.02","866.90","618.25","64,05,645","4,67,62,30,706.00","1,30,956"
"30-Sep-2022","EQ","720.00","737.75","714.40","719.00","736.00","733.20","728.16","866.90","618.25","95,36,017","6,94,37,65,913.20","1,51,675"
"29-Sep-2022","EQ","722.25","730.80","711.00","716.45","717.00","719.00","720.51","866.90","618.25","1,20,90,981","8,71,16,44,942.95","1,69,109"
"28-Sep-2022","EQ","733.90","733.90","707.70","737.50","713.50","716.45","723.03","866.90","618.25","1,31,70,668","9,52,27,58,538.20","2,01,069"
