"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2018","EQ","630.40","631.95","618.80","625.05","619.90","619.90","624.28","677.95","481.25","60,30,093","3,76,44,58,568.95","98,328"
"28-Dec-2018","EQ","623.90","628.00","620.00","617.55","625.80","625.05","624.53","677.95","481.25","63,72,911","3,98,00,57,102.60","69,467"
"27-Dec-2018","EQ","623.55","626.00","615.60","619.50","616.40","617.55","620.32","677.95","481.25","1,23,04,812","7,63,29,20,006.95","1,27,552"
"26-Dec-2018","EQ","611.00","623.65","603.45","615.00","618.95","619.50","615.75","677.95","481.25","65,19,211","4,01,42,15,612.70","99,749"
"24-Dec-2018","EQ","626.00","627.15","613.50","620.85","614.20","615.00","620.15","677.95","481.25","61,91,605","3,83,97,29,714.10","87,541"
"21-Dec-2018","EQ","633.30","637.85","616.65","632.95","621.65","620.85","626.98","677.95","481.25","1,07,15,457","6,71,84,16,631.80","1,17,567"
"20-Dec-2018","EQ","636.95","646.90","629.00","641.65","633.30","632.95","635.05","677.95","481.25","1,10,04,125","6,98,82,07,460.75","1,30,935"
"19-Dec-2018","EQ","624.25","651.65","619.15","619.40","640.00","641.65","638.19","677.95","481.25","1,67,59,139","10,69,54,87,241.30","1,65,568"
"18-Dec-2018","EQ","617.65","621.80","613.85","617.15","618.80","619.40","618.37","677.95","481.25","84,92,688","5,25,16,35,397.50","1,02,617"
"17-Dec-2018","EQ","622.55","624.50","616.15","620.25","616.50","617.15","618.64","677.95","481.25","48,43,342","2,99,62,95,236.35","73,481"
"14-Dec-2018","EQ","619.10","623.00","611.30","619.10","620.30","620.25","616.10","677.95","481.25","41,65,047","2,56,60,75,819.85","81,978"
"13-Dec-2018","EQ","624.80","625.90","616.15","619.95","618.90","619.10","620.32","677.95","481.25","74,19,355","4,60,23,60,155.00","71,867"
"12-Dec-2018","EQ","604.75","622.00","603.00","604.25","622.00","619.95","612.52","677.95","481.25","72,32,578","4,43,00,70,605.20","1,05,740"
"11-Dec-2018","EQ","581.00","616.65","580.50","590.30","603.90","604.25","600.21","677.95","481.25","1,64,29,956","9,86,13,56,118.45","1,98,852"
"10-Dec-2018","EQ","595.00","601.50","585.30","603.95","590.55","590.30","593.22","677.95","481.25","1,16,43,401","6,90,70,79,048.75","1,09,164"
"07-Dec-2018","EQ","602.40","609.50","592.35","600.05","604.50","603.95","601.99","677.95","481.25","1,22,62,327","7,38,17,47,100.85","1,53,706"
"06-Dec-2018","EQ","610.25","613.85","598.25","614.95","598.95","600.05","606.31","677.95","481.25","75,19,849","4,55,93,87,205.60","1,23,704"
"05-Dec-2018","EQ","620.90","623.95","613.40","623.25","614.90","614.95","618.57","677.95","481.25","97,28,083","6,01,74,56,517.45","1,01,498"
"04-Dec-2018","EQ","624.95","627.55","618.60","624.80","623.80","623.25","621.49","677.95","481.25","83,82,005","5,20,93,04,970.45","76,682"
