"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2012","EQ","1,141.50","1,143.90","1,134.20","1,141.55","1,138.00","1,138.25","1,138.50","1,158.65","685.10","10,06,091","1,14,54,30,162.15","22,889"
"28-Dec-2012","EQ","1,142.60","1,146.50","1,129.80","1,136.45","1,145.10","1,141.55","1,137.64","1,158.65","677.20","13,63,933","1,55,16,69,678.65","42,461"
"27-Dec-2012","EQ","1,152.25","1,153.80","1,132.50","1,148.65","1,140.90","1,136.45","1,140.05","1,158.65","677.20","30,67,391","3,49,69,69,802.40","63,733"
"26-Dec-2012","EQ","1,126.00","1,150.00","1,121.00","1,121.50","1,149.20","1,148.65","1,141.10","1,158.65","677.20","13,74,123","1,56,80,15,025.00","39,946"
"24-Dec-2012","EQ","1,129.70","1,130.00","1,114.20","1,123.90","1,124.25","1,121.50","1,120.48","1,158.65","677.20","13,98,406","1,56,68,92,074.30","37,296"
"21-Dec-2012","EQ","1,133.90","1,139.00","1,117.20","1,139.65","1,120.90","1,123.90","1,131.76","1,158.65","641.00","21,80,208","2,46,74,63,105.20","68,125"
"20-Dec-2012","EQ","1,144.80","1,145.00","1,130.10","1,138.75","1,138.35","1,139.65","1,138.50","1,158.65","641.00","23,27,908","2,65,03,23,385.95","67,629"
"19-Dec-2012","EQ","1,155.10","1,158.65","1,133.05","1,148.95","1,138.00","1,138.75","1,141.16","1,158.65","641.00","17,61,928","2,01,06,40,909.70","53,171"
"18-Dec-2012","EQ","1,147.00","1,153.40","1,118.80","1,144.10","1,149.10","1,148.95","1,140.93","1,153.40","641.00","27,41,098","3,12,74,12,201.30","64,158"
"17-Dec-2012","EQ","1,130.25","1,149.00","1,130.25","1,136.05","1,143.65","1,144.10","1,145.32","1,149.50","641.00","16,93,617","1,93,97,35,881.10","74,516"
"14-Dec-2012","EQ","1,116.00","1,139.45","1,113.40","1,121.25","1,138.00","1,136.05","1,127.94","1,149.50","641.00","27,92,345","3,14,96,07,785.15","85,361"
"13-Dec-2012","EQ","1,120.00","1,133.45","1,115.50","1,113.20","1,122.90","1,121.25","1,124.78","1,149.50","641.00","27,61,959","3,10,65,89,894.35","92,413"
"12-Dec-2012","EQ","1,128.35","1,132.80","1,106.35","1,122.65","1,109.75","1,113.20","1,120.22","1,149.50","641.00","29,89,073","3,34,84,14,931.60","86,686"
"11-Dec-2012","EQ","1,124.95","1,149.50","1,108.40","1,121.45","1,120.00","1,122.65","1,130.54","1,149.50","641.00","36,01,205","4,07,13,04,851.55","1,07,409"
"10-Dec-2012","EQ","1,140.00","1,140.35","1,118.20","1,131.70","1,119.00","1,121.45","1,126.40","1,144.45","641.00","21,16,323","2,38,38,34,561.25","59,719"
"07-Dec-2012","EQ","1,140.30","1,144.45","1,122.15","1,135.70","1,128.25","1,131.70","1,135.18","1,144.45","641.00","29,96,992","3,40,21,20,608.80","1,00,253"
"06-Dec-2012","EQ","1,132.00","1,143.00","1,102.00","1,119.80","1,142.55","1,135.70","1,121.41","1,143.00","641.00","28,92,785","3,24,40,11,649.15","84,266"
"05-Dec-2012","EQ","1,121.90","1,128.00","1,108.15","1,119.35","1,123.00","1,119.80","1,119.35","1,128.00","641.00","21,46,224","2,40,23,67,567.35","73,257"
"04-Dec-2012","EQ","1,102.00","1,122.60","1,095.55","1,102.30","1,117.00","1,119.35","1,113.05","1,122.60","641.00","29,26,513","3,25,73,48,310.70","78,641"
"03-Dec-2012","EQ","1,095.00","1,113.65","1,093.20","1,099.85","1,100.25","1,102.30","1,102.26","1,113.65","641.00","32,52,244","3,58,48,29,756.80","95,982"
"30-Nov-2012","EQ","1,100.00","1,104.95","1,090.70","1,081.75","1,098.00","1,099.85","1,099.21","1,104.95","641.00","41,78,080","4,59,25,70,586.30","1,42,512"
"29-Nov-2012","EQ","1,050.00","1,086.00","1,045.65","1,034.10","1,085.00","1,081.75","1,060.91","1,102.80","641.00","91,72,172","9,73,08,66,083.90","1,15,786"
"27-Nov-2012","EQ","1,030.40","1,037.25","1,025.25","1,018.30","1,035.90","1,034.10","1,031.34","1,102.80","641.00","56,18,538","5,79,46,50,517.25","1,29,115"
"26-Nov-2012","EQ","1,035.00","1,035.00","1,015.00","1,025.10","1,018.30","1,018.30","1,020.57","1,102.80","641.00","20,19,763","2,06,13,14,368.75","62,211"
"23-Nov-2012","EQ","1,037.60","1,038.95","1,020.20","1,032.60","1,023.50","1,025.10","1,025.40","1,102.80","641.00","22,49,583","2,30,67,24,393.60","45,220"
"22-Nov-2012","EQ","1,045.50","1,054.00","1,030.00","1,044.45","1,031.00","1,032.60","1,040.03","1,102.80","641.00","28,82,754","2,99,81,36,844.40","54,945"
"21-Nov-2012","EQ","1,030.00","1,047.00","1,026.55","1,024.10","1,046.00","1,044.45","1,040.32","1,102.80","641.00","17,81,950","1,85,37,96,645.20","51,854"
"20-Nov-2012","EQ","1,030.80","1,034.15","1,015.00","1,021.15","1,026.90","1,024.10","1,021.12","1,102.80","641.00","16,30,505","1,66,49,44,019.70","47,689"
"19-Nov-2012","EQ","1,028.10","1,033.40","1,016.20","1,027.30","1,022.55","1,021.15","1,024.07","1,102.80","641.00","17,80,725","1,82,35,84,836.65","44,040"
"16-Nov-2012","EQ","1,047.60","1,052.05","1,022.00","1,054.65","1,026.00","1,027.30","1,041.02","1,102.80","641.00","23,80,460","2,47,80,97,211.45","67,132"
"15-Nov-2012","EQ","1,054.80","1,057.35","1,043.45","1,059.75","1,055.30","1,054.65","1,051.90","1,102.80","641.00","16,54,470","1,74,03,41,694.85","61,849"
"13-Nov-2012","EQ","1,059.85","1,063.00","1,055.05","1,058.40","1,058.15","1,059.75","1,059.77","1,102.80","641.00","5,52,529","58,55,50,968.70","10,555"
"12-Nov-2012","EQ","1,061.50","1,070.90","1,053.15","1,059.20","1,061.30","1,058.40","1,061.67","1,102.80","641.00","21,30,643","2,26,20,48,688.45","69,175"
"09-Nov-2012","EQ","1,076.30","1,078.00","1,054.50","1,076.00","1,061.20","1,059.20","1,065.88","1,102.80","641.00","15,39,685","1,64,11,22,092.75","57,692"
"08-Nov-2012","EQ","1,080.00","1,082.90","1,071.20","1,092.95","1,076.15","1,076.00","1,077.24","1,102.80","641.00","15,80,696","1,70,27,81,707.35","69,991"
"07-Nov-2012","EQ","1,086.10","1,099.75","1,080.05","1,080.70","1,094.50","1,092.95","1,094.41","1,102.80","641.00","25,56,181","2,79,75,16,539.95","74,010"
"06-Nov-2012","EQ","1,071.50","1,087.50","1,068.20","1,077.65","1,085.15","1,080.70","1,076.30","1,102.80","641.00","17,24,073","1,85,56,27,716.80","55,879"
"05-Nov-2012","EQ","1,076.00","1,080.90","1,067.45","1,079.65","1,077.10","1,077.65","1,075.20","1,102.80","641.00","12,71,976","1,36,76,33,540.45","48,337"
"02-Nov-2012","EQ","1,072.00","1,082.35","1,065.60","1,057.35","1,082.35","1,079.65","1,075.08","1,102.80","641.00","20,78,535","2,23,45,84,797.80","65,978"
"01-Nov-2012","EQ","1,052.00","1,061.00","1,045.30","1,050.20","1,055.60","1,057.35","1,054.62","1,102.80","641.00","13,78,834","1,45,41,40,520.25","48,800"
"31-Oct-2012","EQ","1,046.00","1,054.90","1,035.75","1,045.15","1,051.05","1,050.20","1,047.36","1,102.80","641.00","20,86,630","2,18,54,47,774.60","64,598"
"30-Oct-2012","EQ","1,072.00","1,087.30","1,032.65","1,068.45","1,042.25","1,045.15","1,055.81","1,102.80","641.00","40,60,692","4,28,73,38,320.35","91,865"
